cohortId,targetId,targetName,strataId,strataName,cohortType
126,126,Persons tested for SARS-CoV-2 with at least 365d prior observation,0,All,Target
128,128,Persons tested positive for SARS-CoV-2 with at least 365d prior observation,0,All,Target
130,130,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,0,All,Target
132,132,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation,0,All,Target
134,134,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,0,All,Target
136,136,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,0,All,Target
138,138,Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation,0,All,Target
140,140,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation,0,All,Target
127,127,Persons tested for SARS-CoV-2 with no required prior observation,0,All,Target
129,129,Persons tested positive for SARS-CoV-2 with no required prior observation,0,All,Target
131,131,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,0,All,Target
133,133,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation,0,All,Target
135,135,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,0,All,Target
137,137,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,0,All,Target
139,139,Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation,0,All,Target
141,141,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation,0,All,Target
111,111,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation,0,All,Target
113,113,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation,0,All,Target
115,115,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation,0,All,Target
112,112,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation,0,All,Target
114,114,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation,0,All,Target
116,116,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation,0,All,Target
113000012,113,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation,1,with < 30-day follow up,TwoS
140000012,140,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation,1,with < 30-day follow up,TwoS
129000012,129,Persons tested positive for SARS-CoV-2 with no required prior observation,1,with < 30-day follow up,TwoS
114000012,114,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation,1,with < 30-day follow up,TwoS
116000012,116,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation,1,with < 30-day follow up,TwoS
132000012,132,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation,1,with < 30-day follow up,TwoS
135000012,135,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,1,with < 30-day follow up,TwoS
130000012,130,Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation,1,with < 30-day follow up,TwoS
138000012,138,Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation,1,with < 30-day follow up,TwoS
137000012,137,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation,1,with < 30-day follow up,TwoS
126000012,126,Persons tested for SARS-CoV-2 with at least 365d prior observation,1,with < 30-day follow up,TwoS
115000012,115,Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation,1,with < 30-day follow up,TwoS
111000012,111,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation,1,with < 30-day follow up,TwoS
139000012,139,Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation,1,with < 30-day follow up,TwoS
141000012,141,Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation,1,with < 30-day follow up,TwoS
