analysis_id,analysis_description,outcome_id,outcome_name,comparator_id,comparator_name,target_id,target_name,rr,ci_95lb,ci_95ub,p,target,comparator,target_days,comparator_days,events_target,events_comparator,log_rr,se_log_rr,llr,eval_cohort,exposure_cohort,sens_pe,sens_lb,sens_ub,spec_pe,spec_lb,spec_ub,ppv_pe,ppv_lb,ppv_ub,npv_pe,npv_lb,npv_ub,database_id
1,"Unadjusted, 183d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.02503,0.94706,1.11021,0.54199,441254,151920,73884817,24974137,2444,821,0.02473,0.04055,0.18776,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,1.40721,1.31606,1.50401,0,173073,441230,28436807,73881503,1346,2444,0.34161,0.03406,48.49164,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,1.32438,1.20625,1.45688,0,441212,125883,73877990,21075954,2443,527,0.28094,0.04816,18.06445,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.05009,0.94807,1.16521,0.35285,445304,153507,74565020,25233928,1465,481,0.04888,0.05261,0.4349,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.29866,1.15233,1.46833,2e-5,445261,126694,74558010,21210331,1464,321,0.26133,0.06182,9.46966,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,3.23279,2.6645,3.90648,0,19408,126753,3207738,21219792,158,321,1.17335,0.09761,61.28204,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,1.44093,1.32293,1.56838,0,175542,445278,28834112,74561340,831,1465,0.36529,0.04342,33.91749,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
1,"Unadjusted, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,2.80453,2.39126,3.27706,0,19024,125942,3147213,21085415,222,528,1.03124,0.08039,70.00255,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
2,"QBA, 183d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,5.99213,5.20129,6.90322,0,175542,445278,NA,NA,519,220,1.79045,0.07222,33.91749,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
2,"QBA, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,1,ACEI w hypertension,8.26326,7.8914,8.65264,0,441212,125883,NA,NA,1132,39,2.11182,0.02349,18.06445,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
2,"QBA, 183d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.0961,1.0093,1.19038,0.02927,441254,151920,NA,NA,1134,356,0.09176,0.0421,0.18776,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
2,"QBA, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,19408,126753,NA,NA,170,-101,NA,NA,61.28204,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
2,"QBA, 183d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,2.17353,1.98327,2.38203,0,445304,153507,NA,NA,220,35,0.77635,0.04674,0.4349,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
2,"QBA, 183d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,2.46336,2.21753,2.73644,0,173073,441230,NA,NA,1091,1134,0.90153,0.05364,48.49164,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
2,"QBA, 183d",4009,Ischemic stroke NC,3,THZ w hypertension,5,ndCCB w hypertension,40.36488,32.42614,50.24723,0,19024,125942,NA,NA,244,40,3.69796,0.11173,70.00255,Ischemic stroke,NA,0.603,0.6,0.607,0.996,0.995,0.996,0.837,0.834,0.841,0.985,0.985,0.985,optum_extended_dod
2,"QBA, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,NA,NA,NA,NA,445261,126694,NA,NA,219,-101,NA,NA,9.46966,Ischemic stroke,NA,0.589,0.586,0.593,0.997,0.997,0.997,0.872,0.869,0.875,0.985,0.984,0.985,optum_extended_dod
3,"PS matched, 183d",4008,Ischemic stroke PL,2,ARB w hypertension,1,ACEI w hypertension,1.13136,0.99987,1.28054,0.05054,150881,150881,24765056,24840261,534,472,0.12342,0.06312,1.91175,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
3,"PS matched, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,5,ndCCB w hypertension,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
3,"PS matched, 183d",4008,Ischemic stroke PL,3,THZ w hypertension,1,ACEI w hypertension,1.07744,0.92022,1.26192,0.3545,119136,119136,19939357,19953110,320,297,0.07459,0.08056,0.42879,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
3,"PS matched, 183d",4009,Ischemic stroke NC,1,ACEI w hypertension,4,dCCB w hypertension,0.95251,0.87635,1.03523,0.2523,152762,152762,25238602,25242049,1083,1137,-0.04866,0.0425,0.65682,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
3,"PS matched, 183d",4008,Ischemic stroke PL,1,ACEI w hypertension,4,dCCB w hypertension,0.9851,0.88464,1.09693,0.78436,154874,154874,25582608,25588173,661,671,-0.01502,0.05487,0.03754,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
3,"PS matched, 183d",4009,Ischemic stroke NC,2,ARB w hypertension,1,ACEI w hypertension,1.10763,1.0069,1.21864,0.03577,149354,149354,24516664,24590230,885,799,0.10223,0.04869,2.19692,Ischemic stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,optum_extended_dod
