label,analysisId,covariateIds
Age (years),2,
Gender: female,1,8532001
Race,4,
Ethnicity,5,
Index year,6,2015006;2016006;2017006;2018006;2019006;2020006;2021006
Index month,7,1007;2007;3007;4007;5007;6007;7007;8007;9007;10007;11007;12007
Observation time (days) prior to index,8,1008
Medical history: General,202,4006969202;438409202;4212540202;255573202;201606202;4182210202;440383202;201820202;318800202;192671202;439727202;432867202;316866202;4104000202;433736202;80180202;255848202;140168202;4030518202;80809202;435783202;4279309202;81893202;81902202;197494202;4134440202
Medical history: Cardiovascular disease,202,313217202;381591202;317576202;321588202;316139202;4185932202;321052202;440417202;444247202
Medical history: Neoplasms,202,4044013202;432571202;40481902202;443392202;4112853202;4180790202;443388202;197508202;200962202
Medication use,402,1713332402;1734104402;1154343402;1149380402;1759842402;1177480402;903963402;974166402;1797513402;1201620402;1786621402;1705674402;1124957402;997881402;1836430402;1308216402
