"outcomeName","databaseId","targetSubjects","comparatorSubjects","targetYears","comparatorYears","targetOutcomes","comparatorOutcomes","targetIr","comparatorIr"
"Outcome","Database","Patients","","Follow-up","","Events","","IR",""
"","","HCQ","SSZ","HCQ","SSZ","HCQ","SSZ","HCQ","SSZ"
"All-cause mortality","CPRD","9,127","11,398","747","934","6","5","8.03","5.35"
"All-cause mortality","IMRD","8,851","8,460","723","692","<5","6","<6.91","8.66"
"All-cause mortality","Optum","51,280","17,389","4,161","1,411","20","10","4.81","7.09"
"All-cause mortality","VA","32,028","14,349","2,627","1,176","45","17","17.13","14.45"
"All-cause mortality","Meta-analysis","101,286","51,596","8,259","4,215","<76","38","<9.20","9.02"
"Cardiovascular-related mortality","Optum","51,280","17,389","4,161","1,411","16","<5","3.85","<3.54"
"Cardiovascular-related mortality","VA","32,028","14,349","2,627","1,176","9","<5","3.43","<4.25"
"Cardiovascular-related mortality","Meta-analysis","83,308","31,738","6,788","2,588","25","<10","3.68","<3.86"
"Myocardial infarction","CCAE","66,630","22,374","5,412","1,817","29","11","5.36","6.05"
"Myocardial infarction","MDCD","8,079","2,196","658","178","13","5","19.75","27.98"
"Myocardial infarction","MDCR","15,827","5,190","1,289","422","26","10","20.17","23.68"
"Myocardial infarction","OpenClaims","620,751","183,482","50,960","15,063","369","89","7.24","5.91"
"Myocardial infarction","Optum","51,244","17,380","4,156","1,409","51","20","12.27","14.19"
"Myocardial infarction","PanTher","78,424","21,885","6,353","1,772","59","12","9.29","6.77"
"Myocardial infarction","VA","32,009","14,342","2,624","1,175","30","9","11.43","7.65"
"Myocardial infarction","Meta-analysis","872,964","266,849","71,454","21,840","577","156","8.08","7.14"
"Chest pain or angina","AmbEMR","57,140","15,268","4,684","1,251","122","31","26.04","24.76"
"Chest pain or angina","CCAE","65,935","22,173","5,338","1,795","440","143","82.41","79.62"
"Chest pain or angina","CPRD","9,114","11,388","746","933","10","17","13.40","18.22"
"Chest pain or angina","DAGermany","3,884","5,045","318","414","<5","5","<15.69","12.07"
"Chest pain or angina","IMRD","8,843","8,452","722","691","9","10","12.45","14.46"
"Chest pain or angina","MDCD","7,982","2,177","647","176","80","23","123.50","130.43"
"Chest pain or angina","MDCR","15,690","5,150","1,274","417","129","49","101.25","117.43"
"Chest pain or angina","OpenClaims","617,628","182,776","50,613","14,977","2,674","804","52.83","53.68"
"Chest pain or angina","Optum","50,698","17,221","4,098","1,390","396","166","96.62","119.34"
"Chest pain or angina","PanTher","76,844","21,549","6,199","1,738","629","143","101.46","82.23"
"Chest pain or angina","VA","31,824","14,276","2,605","1,168","130","54","49.89","46.20"
"Chest pain or angina","Meta-analysis","945,582","305,475","77,249","24,956","<4,624","1,445","<59.86","57.90"
"Heart failure","AmbEMR","57,383","15,305","4,707","1,255","42","10","8.92","7.96"
"Heart failure","CCAE","66,604","22,370","5,410","1,817","30","5","5.55","2.75"
"Heart failure","CPRD","9,126","11,397","747","934","<5","<5","<6.69","<5.35"
"Heart failure","DAGermany","3,885","5,042","318","413","<5","<5","<15.68","<12.08"
"Heart failure","IMRD","8,852","8,460","723","692","<5","<5","<6.91","<7.22"
"Heart failure","MDCD","8,072","2,195","657","178","15","<5","22.81","<27.99"
"Heart failure","MDCR","15,808","5,171","1,287","420","39","19","30.30","45.22"
"Heart failure","OpenClaims","620,244","183,350","50,903","15,048","749","214","14.71","14.22"
"Heart failure","Optum","51,204","17,356","4,151","1,407","84","25","20.23","17.76"
"Heart failure","PanTher","77,813","21,768","6,295","1,761","237","50","37.64","28.39"
"Heart failure","VA","31,895","14,307","2,614","1,172","56","17","21.42","14.49"
"Heart failure","Meta-analysis","950,886","306,721","77,817","25,102","<1,267","<360","<16.28","<14.34"
"Cardiovascular events","CCAE","66,533","22,357","5,401","1,815","97","36","17.96","19.83"
"Cardiovascular events","MDCD","8,041","2,186","654","177","35","11","53.50","61.95"
"Cardiovascular events","MDCR","15,759","5,167","1,280","419","117","39","91.39","93.05"
"Cardiovascular events","OpenClaims","619,493","183,209","50,809","15,027","1,636","470","32.20","31.28"
"Cardiovascular events","Optum","51,095","17,340","4,138","1,404","215","76","51.96","54.11"
"Cardiovascular events","PanTher","77,825","21,752","6,295","1,759","294","70","46.70","39.79"
"Cardiovascular events","VA","31,913","14,300","2,613","1,171","120","46","45.92","39.28"
"Cardiovascular events","Meta-analysis","870,659","266,311","71,192","21,774","2,514","748","35.31","34.35"
"Cardiac arrhythmia","AmbEMR","56,743","15,208","4,650","1,246","147","43","31.61","34.50"
"Cardiac arrhythmia","CCAE","66,430","22,337","5,391","1,812","153","58","28.38","32.00"
"Cardiac arrhythmia","CPRD","9,120","11,390","746","933","7","14","9.38","15.00"
"Cardiac arrhythmia","DAGermany","3,883","5,040","318","413","<5","5","<15.70","12.09"
"Cardiac arrhythmia","IMRD","8,847","8,452","723","691","8","12","11.06","17.35"
"Cardiac arrhythmia","MDCD","8,051","2,191","655","178","37","10","56.48","56.15"
"Cardiac arrhythmia","MDCR","15,763","5,165","1,282","419","73","24","56.93","57.20"
"Cardiac arrhythmia","OpenClaims","619,285","183,147","50,795","15,020","1,505","490","29.63","32.62"
"Cardiac arrhythmia","Optum","51,069","17,320","4,137","1,403","159","61","38.43","43.46"
"Cardiac arrhythmia","PanTher","77,008","21,581","6,219","1,743","472","115","75.89","65.97"
"Cardiac arrhythmia","VA","31,766","14,275","2,601","1,169","107","45","41.12","38.48"
"Cardiac arrhythmia","Meta-analysis","947,965","306,106","77,520","25,032","<2,673","877","<34.48","35.03"
"Bradycardia","AmbEMR","57,594","15,350","4,725","1,259","17","<5","3.60","<3.97"
"Bradycardia","CCAE","66,640","22,373","5,414","1,817","5","<5","0.92","<2.75"
"Bradycardia","MDCD","8,085","2,197","659","178","6","<5","9.10","<27.96"
"Bradycardia","OpenClaims","620,919","183,510","50,982","15,067","155","56","3.04","3.72"
"Bradycardia","Optum","51,259","17,386","4,158","1,410","23","<5","5.53","<3.54"
"Bradycardia","PanTher","78,425","21,911","6,352","1,774","62","16","9.76","9.02"
"Bradycardia","VA","32,018","14,345","2,626","1,176","9","<5","3.43","<4.25"
"Bradycardia","Meta-analysis","914,940","277,072","74,919","22,684","277","<97","3.70","<4.28"
"Transient ischemic attack","CCAE","66,617","22,372","5,411","1,817","23","6","4.25","3.30"
"Transient ischemic attack","MDCD","8,078","2,198","658","178","7","<5","10.63","<27.96"
"Transient ischemic attack","MDCR","15,821","5,187","1,289","422","17","7","13.19","16.59"
"Transient ischemic attack","OpenClaims","620,812","183,511","50,969","15,067","261","56","5.12","3.72"
"Transient ischemic attack","Optum","51,235","17,377","4,156","1,409","38","9","9.14","6.38"
"Transient ischemic attack","PanTher","78,520","21,921","6,362","1,775","26","7","4.09","3.94"
"Transient ischemic attack","VA","32,010","14,346","2,625","1,176","10","5","3.81","4.25"
"Transient ischemic attack","Meta-analysis","873,093","266,912","71,472","21,847","382","<95","5.34","<4.35"
"Stroke","CCAE","66,619","22,374","5,411","1,817","26","8","4.80","4.40"
"Stroke","MDCD","8,073","2,196","657","178","13","<5","19.76","<27.98"
"Stroke","MDCR","15,825","5,186","1,289","421","29","9","22.50","21.34"
"Stroke","OpenClaims","620,748","183,482","50,960","15,063","383","98","7.52","6.51"
"Stroke","Optum","51,239","17,376","4,156","1,409","41","12","9.86","8.51"
"Stroke","PanTher","78,442","21,897","6,354","1,773","52","10","8.18","5.64"
"Stroke","VA","32,008","14,341","2,625","1,175","19","8","7.24","6.80"
"Stroke","Meta-analysis","872,954","266,852","71,455","21,840","563","<150","7.88","<6.87"
"Venous thromboembolism","AmbEMR","57,262","15,281","4,697","1,253","52","17","11.07","13.56"
"Venous thromboembolism","CCAE","66,528","22,358","5,402","1,815","70","23","12.96","12.67"
"Venous thromboembolism","CPRD","9,118","11,390","746","933","<5","11","<6.70","11.79"
"Venous thromboembolism","DAGermany","3,881","5,033","318","413","<5","6","<15.70","14.53"
"Venous thromboembolism","IMRD","8,841","8,455","722","692","5","10","6.92","14.45"
"Venous thromboembolism","MDCD","8,059","2,196","656","178","24","<5","36.57","<27.98"
"Venous thromboembolism","MDCR","15,780","5,176","1,285","421","41","8","31.90","18.99"
"Venous thromboembolism","OpenClaims","620,093","183,330","50,889","15,045","788","237","15.48","15.75"
"Venous thromboembolism","Optum","51,153","17,355","4,146","1,407","104","31","25.08","22.03"
"Venous thromboembolism","PanTher","78,092","21,804","6,317","1,764","241","52","38.15","29.47"
"Venous thromboembolism","VA","31,962","14,328","2,620","1,174","42","22","16.03","18.73"
"Venous thromboembolism","Meta-analysis","950,769","306,706","77,802","25,099","<1,377","<422","<17.70","<16.81"
"Gastrointestinal bleeding","CCAE","66,621","22,357","5,410","1,816","40","12","7.39","6.61"
"Gastrointestinal bleeding","MDCD","8,071","2,191","657","178","16","<5","24.33","<28.05"
"Gastrointestinal bleeding","MDCR","15,813","5,177","1,288","421","31","7","24.06","16.62"
"Gastrointestinal bleeding","OpenClaims","620,631","183,371","50,948","15,052","438","126","8.60","8.37"
"Gastrointestinal bleeding","Optum","51,218","17,345","4,153","1,407","68","13","16.37","9.24"
"Gastrointestinal bleeding","PanTher","78,411","21,890","6,351","1,772","78","18","12.28","10.15"
"Gastrointestinal bleeding","VA","31,993","14,334","2,623","1,174","26","16","9.91","13.62"
"Gastrointestinal bleeding","Meta-analysis","872,758","266,665","71,434","21,823","697","<197","9.76","<9.03"
"Acute renal failure","CCAE","66,584","22,362","5,407","1,816","72","27","13.32","14.87"
"Acute renal failure","MDCD","8,051","2,189","654","177","41","13","62.61","73.10"
"Acute renal failure","MDCR","15,797","5,181","1,285","421","60","17","46.67","40.37"
"Acute renal failure","OpenClaims","620,101","183,354","50,881","15,045","1,061","308","20.85","20.47"
"Acute renal failure","Optum","51,166","17,353","4,145","1,406","163","54","39.32","38.39"
"Acute renal failure","PanTher","78,010","21,797","6,315","1,764","186","42","29.45","23.81"
"Acute renal failure","VA","31,947","14,317","2,616","1,172","102","35","38.98","29.84"
"Acute renal failure","Meta-analysis","871,656","266,553","71,307","21,803","1,685","496","23.63","22.75"
"End stage renal disease","CCAE","66,641","22,378","5,414","1,817","<5","<5","<0.92","<2.75"
"End stage renal disease","MDCR","15,838","5,191","1,291","422","<5","<5","<3.87","<11.83"
"End stage renal disease","OpenClaims","621,009","183,543","50,993","15,071","70","8","1.37","0.53"
"End stage renal disease","Optum","51,271","17,389","4,160","1,411","7","<5","1.68","<3.54"
"End stage renal disease","PanTher","78,526","21,924","6,362","1,776","27","<5","4.24","<2.82"
"End stage renal disease","VA","32,020","14,348","2,626","1,176","5","<5","1.90","<4.25"
"End stage renal disease","Meta-analysis","865,305","264,773","70,848","21,676","<119","<33","<1.68","<1.52"
"Hepatic failure","CCAE","66,638","22,378","5,413","1,818","6","<5","1.11","<2.75"
"Hepatic failure","MDCD","8,085","2,198","659","178","<5","<5","<7.58","<27.95"
"Hepatic failure","OpenClaims","621,042","183,551","50,997","15,071","42","23","0.82","1.53"
"Hepatic failure","Optum","51,267","17,387","4,159","1,410","13","<5","3.13","<3.54"
"Hepatic failure","PanTher","78,529","21,916","6,363","1,775","32","9","5.03","5.07"
"Hepatic failure","VA","32,025","14,348","2,627","1,176","5","<5","1.90","<4.25"
"Hepatic failure","Meta-analysis","857,586","261,778","70,220","21,431","<103","<52","<1.47","<2.43"
"Acute pancreatitis","CCAE","66,637","22,374","5,413","1,817","22","7","4.06","3.85"
"Acute pancreatitis","MDCD","8,077","2,196","658","178","10","<5","15.19","<27.97"
"Acute pancreatitis","MDCR","15,833","5,188","1,290","422","6","<5","4.65","<11.84"
"Acute pancreatitis","OpenClaims","620,956","183,525","50,985","15,068","155","50","3.04","3.32"
"Acute pancreatitis","Optum","51,259","17,384","4,158","1,410","21","9","5.05","6.38"
"Acute pancreatitis","PanTher","78,522","21,921","6,363","1,775","21","5","3.30","2.82"
"Acute pancreatitis","VA","32,023","14,347","2,626","1,176","12","<5","4.57","<4.25"
"Acute pancreatitis","Meta-analysis","873,307","266,935","71,496","21,850","247","<86","3.45","<3.94"
