"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    20-24"," 0.1"," 0.2","-0.02","<0.1"," 0.1"," 0.00"
"    25-29"," 0.6"," 0.6","-0.01"," 0.4"," 0.3"," 0.03"
"    30-34"," 1.1"," 1.1"," 0.00"," 1.2"," 1.1"," 0.02"
"    35-39"," 1.5"," 1.7","-0.02"," 1.3"," 1.4","-0.01"
"    40-44"," 2.7"," 2.8","-0.01"," 3.1"," 2.7"," 0.02"
"    45-49"," 5.1"," 5.0"," 0.00"," 5.9"," 5.4"," 0.02"
"    50-54"," 8.8"," 8.7"," 0.00"," 9.6"," 9.0"," 0.02"
"    55-59","13.4","13.1"," 0.01","12.9","14.3","-0.04"
"    60-64","17.3","17.6","-0.01","17.1","18.0","-0.02"
"    65-69","17.1","17.0"," 0.00","17.2","17.0"," 0.00"
"Gender: female","13.2","13.1"," 0.00","18.7","17.5"," 0.03"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","11.8","11.3"," 0.02","40.3","40.4"," 0.00"
"    Chronic obstructive lung disease",NA,NA,NA,"26.1","27.6","-0.03"
"    Depressive disorder","21.8","21.6"," 0.00","29.5","28.5"," 0.02"
"    Diabetes mellitus","24.1","24.1"," 0.00","28.0","28.2"," 0.00"
"    Hyperlipidemia",NA,NA,NA,"47.0","47.0"," 0.00"
"    Pneumonia",NA,NA,NA,"12.9","11.4"," 0.04"
"    Renal impairment"," 7.0"," 7.1"," 0.00","11.4","11.2"," 0.01"
"    Urinary tract infectious disease"," 3.4"," 3.1"," 0.02"," 7.4"," 7.2"," 0.01"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 5.9"," 5.8"," 0.00"," 7.9"," 8.1","-0.01"
"    Cerebrovascular disease"," 4.3"," 4.3"," 0.00"," 6.1"," 5.4"," 0.03"
"    Coronary arteriosclerosis","14.8","15.2","-0.01","18.6","18.0"," 0.02"
"    Heart disease","30.6","31.1","-0.01","38.7","37.7"," 0.02"
"    Heart failure"," 5.9"," 6.1","-0.01","11.3","10.2"," 0.04"
"    Ischemic heart disease","11.1","11.1"," 0.00","15.2","15.1"," 0.00"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","38.8","39.0"," 0.00","44.8","44.9"," 0.00"
"    Antidepressants","35.3","34.8"," 0.01",NA,NA,NA
"    Drugs for obstructive airway diseases","28.2","28.0"," 0.00","48.3","49.0","-0.01"
"    Immunosuppressants","47.0","46.3"," 0.01","54.7","55.5","-0.02"
"    Opioids","32.0","31.5"," 0.01","45.3","44.1"," 0.02"
"    Psycholeptics","24.0","24.0"," 0.00","36.2","35.7"," 0.01"
