"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    45-49"," 0.1","<0.1"," 0.01"," 0.1"," 0.1"," 0.02"
"    55-59"," 0.8"," 0.8","-0.01"," 1.0"," 1.2","-0.02"
"    60-64"," 1.8"," 2.0","-0.02"," 2.2"," 2.3","-0.01"
"    65-69","24.4","24.4"," 0.00","29.0","28.7"," 0.01"
"Gender: female","71.8","71.5"," 0.00","75.7","75.7"," 0.00"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","27.4","27.2"," 0.00","42.5","44.4","-0.04"
"    Chronic obstructive lung disease","15.7","16.0","-0.01","16.7","18.1","-0.04"
"    Depressive disorder"," 9.2"," 9.2"," 0.00","10.3","11.0","-0.02"
"    Diabetes mellitus","22.9","22.7"," 0.00","20.6","20.4"," 0.00"
"    Hyperlipidemia","40.7","41.3","-0.01","39.8","39.7"," 0.00"
"    Pneumonia"," 9.2"," 9.1"," 0.00","11.6","12.0","-0.01"
"    Renal impairment","11.1","11.2"," 0.00","12.7","12.5"," 0.01"
"    Urinary tract infectious disease","13.5","12.7"," 0.02","15.6","16.1","-0.01"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation","10.4","10.2"," 0.01","10.3","10.6","-0.01"
"    Cerebrovascular disease",NA,NA,NA,"11.8","11.3"," 0.02"
"    Coronary arteriosclerosis",NA,NA,NA,"20.7","20.5"," 0.01"
"    Heart disease",NA,NA,NA,"45.7","46.0","-0.01"
"    Heart failure","10.0","10.4","-0.01","11.4","11.2"," 0.01"
"    Ischemic heart disease","10.1","10.4","-0.01","10.7","10.2"," 0.02"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system",NA,NA,NA,"47.7","48.3","-0.01"
"    Antidepressants","31.7","31.3"," 0.01","36.2","37.1","-0.02"
"    Drugs for obstructive airway diseases","33.2","32.8"," 0.01","41.8","43.0","-0.02"
"    Immunosuppressants","45.5","42.8"," 0.05","48.5","49.3","-0.02"
"    Opioids","43.8","43.2"," 0.01","42.9","43.2"," 0.00"
"    Psycholeptics","34.5","33.6"," 0.02","37.9","38.2","-0.01"
