"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.1"," 0.1"," 0.00",NA,NA,NA
"    20-24"," 0.7"," 0.6"," 0.01"," 0.8"," 0.7"," 0.01"
"    25-29"," 1.3"," 1.4"," 0.00"," 1.3"," 1.2"," 0.00"
"    30-34"," 2.3"," 2.3"," 0.00"," 2.6"," 2.3"," 0.02"
"    35-39"," 3.5"," 3.4"," 0.01"," 3.7"," 3.7"," 0.00"
"    40-44"," 5.3"," 5.1"," 0.01"," 5.8"," 5.4"," 0.02"
"    45-49"," 7.4"," 7.5"," 0.00"," 7.7"," 7.3"," 0.01"
"    50-54","10.5","10.5"," 0.00","10.1","10.5","-0.01"
"    55-59","13.2","12.9"," 0.01","13.5","14.0","-0.01"
"    60-64","13.9","14.1"," 0.00","13.9","14.2","-0.01"
"    65-69","13.8","13.7"," 0.00","13.7","14.1","-0.01"
"Gender: female","78.3","78.4"," 0.00","83.2","82.9"," 0.01"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","13.7","13.8"," 0.00","39.9","40.4","-0.01"
"    Chronic obstructive lung disease"," 7.1"," 6.9"," 0.01"," 9.2","10.4","-0.04"
"    Depressive disorder",NA,NA,NA,"19.8","19.7"," 0.00"
"    Diabetes mellitus","13.2","13.7","-0.02","14.6","14.9","-0.01"
"    Hyperlipidemia","28.8","29.1","-0.01","33.2","32.8"," 0.01"
"    Pneumonia"," 3.2"," 3.1"," 0.01"," 5.7"," 6.5","-0.03"
"    Renal impairment"," 5.2"," 5.3","-0.01"," 6.7"," 7.2","-0.02"
"    Urinary tract infectious disease"," 5.8"," 5.5"," 0.01","10.4","10.5","-0.01"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 3.2"," 3.2"," 0.00"," 3.4"," 3.9","-0.03"
"    Cerebrovascular disease"," 3.1"," 3.1"," 0.00"," 3.6"," 3.4"," 0.01"
"    Coronary arteriosclerosis"," 5.7"," 5.6"," 0.00",NA,NA,NA
"    Heart disease","15.6","15.6"," 0.00","17.7","18.2","-0.01"
"    Heart failure"," 2.6"," 2.4"," 0.01"," 3.4"," 3.7","-0.02"
"    Ischemic heart disease"," 1.7"," 1.5"," 0.02"," 2.0"," 1.9"," 0.01"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","33.3","33.6","-0.01","35.8","36.0"," 0.00"
"    Antidepressants","35.7","35.7"," 0.00","44.2","44.2"," 0.00"
"    Drugs for obstructive airway diseases","30.8","31.0"," 0.00","49.3","50.8","-0.03"
"    Immunosuppressants","52.2","52.1"," 0.00","55.1","55.5","-0.01"
"    Opioids","28.9","28.8"," 0.00","36.1","35.4"," 0.02"
"    Psycholeptics","26.1","26.1"," 0.00",NA,NA,NA
