"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.3"," 0.5","-0.03",NA,NA,NA
"    20-24"," 1.1"," 1.2","-0.01","<5.6","<2.5"," 0.02"
"    25-29"," 2.0"," 2.4","-0.03",NA,NA,NA
"    30-34"," 2.9"," 3.0","-0.01","<5.6"," 4.0","-0.10"
"    35-39"," 3.9"," 4.1","-0.01"," 6.7"," 4.5"," 0.10"
"    40-44"," 6.1"," 6.3","-0.01","12.4"," 4.0"," 0.31"
"    45-49",NA,NA,NA," 7.9"," 9.4","-0.06"
"    50-54","12.7","12.5"," 0.01","13.5"," 9.4"," 0.13"
"    55-59","14.8","14.9"," 0.00","16.9","13.4"," 0.10"
"    60-64","12.3","12.4"," 0.00","12.4","10.9"," 0.05"
"    65-69","11.2","10.6"," 0.02","10.1","12.4","-0.07"
"Gender: female","76.0","77.2","-0.03","89.9","79.2"," 0.30"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","12.2","12.0"," 0.01","61.8","55.4"," 0.13"
"    Chronic obstructive lung disease"," 3.4"," 3.7","-0.02"," 6.7","11.4","-0.16"
"    Depressive disorder"," 8.2"," 8.0"," 0.01","14.6","10.4"," 0.13"
"    Diabetes mellitus"," 7.3"," 7.1"," 0.01"," 5.6","13.4","-0.27"
"    Hyperlipidemia"," 8.0"," 7.7"," 0.01"," 9.0","13.4","-0.14"
"    Pneumonia"," 2.0"," 1.6"," 0.04","<5.6"," 6.9","-0.22"
"    Renal impairment"," 2.4"," 2.4"," 0.00","<5.6"," 4.5","-0.06"
"    Urinary tract infectious disease"," 4.0"," 3.9"," 0.00"," 5.6"," 9.9","-0.16"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 0.8"," 0.7"," 0.00",NA,NA,NA
"    Cerebrovascular disease"," 1.4"," 1.6","-0.02","<5.6","<2.5"," 0.14"
"    Coronary arteriosclerosis"," 1.1"," 1.1"," 0.00","<5.6","<2.5"," 0.06"
"    Heart disease","10.6","10.6"," 0.00","11.2","21.8","-0.29"
"    Heart failure"," 2.0"," 2.4","-0.03","<5.6"," 6.9","-0.30"
"    Ischemic heart disease"," 4.7"," 4.6"," 0.00","<5.6"," 7.9","-0.14"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","16.8","16.5"," 0.01","29.2","39.6","-0.22"
"    Antidepressants",NA,NA,NA,"16.9","18.8","-0.05"
"    Drugs for obstructive airway diseases"," 7.4"," 7.2"," 0.01","19.1","21.8","-0.07"
"    Immunosuppressants","38.9","38.5"," 0.01","37.1","32.7"," 0.09"
"    Opioids","12.2","12.3"," 0.00","20.2","27.2","-0.16"
"    Psycholeptics"," 4.8"," 5.3","-0.02","16.9","10.4"," 0.19"
