"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19",NA,NA,NA," 0.5"," 0.5"," 0.00"
"    20-24"," 1.8"," 2.0","-0.01"," 1.4"," 1.4"," 0.00"
"    25-29"," 2.5"," 2.7","-0.01"," 2.2"," 2.2"," 0.00"
"    30-34"," 4.5"," 4.4"," 0.00"," 4.0"," 3.9"," 0.01"
"    35-39",NA,NA,NA," 6.8"," 6.7"," 0.00"
"    40-44"," 9.7"," 9.5"," 0.01"," 9.3"," 9.3"," 0.00"
"    45-49","13.6","13.4"," 0.00","13.2","13.3"," 0.00"
"    50-54","18.2","18.0"," 0.01","18.1","18.0"," 0.00"
"    55-59","20.8","20.8"," 0.00","21.5","21.8","-0.01"
"    60-64","19.4","19.8","-0.01","21.1","21.1"," 0.00"
"    65-69"," 1.8"," 1.6"," 0.01"," 2.0"," 2.0"," 0.00"
"Gender: female","80.1","79.7"," 0.01",NA,NA,NA
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","35.1","34.8"," 0.01","58.0","57.5"," 0.01"
"    Chronic obstructive lung disease"," 4.3"," 4.5","-0.01"," 5.0"," 5.2","-0.01"
"    Depressive disorder","13.3","13.5"," 0.00","14.7","14.8"," 0.00"
"    Diabetes mellitus","13.6","13.8","-0.01","13.2","13.1"," 0.00"
"    Hyperlipidemia","31.2","31.4"," 0.00","30.4","30.3"," 0.00"
"    Pneumonia"," 4.0"," 4.0"," 0.00"," 5.7"," 5.5"," 0.01"
"    Renal impairment"," 3.0"," 2.8"," 0.01"," 4.2"," 4.1"," 0.00"
"    Urinary tract infectious disease","11.6","11.5"," 0.00","14.0","13.9"," 0.00"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 1.4"," 1.3"," 0.01"," 1.7"," 1.8"," 0.00"
"    Cerebrovascular disease"," 2.8"," 2.9","-0.01"," 3.1"," 3.2","-0.01"
"    Coronary arteriosclerosis",NA,NA,NA," 5.0"," 4.9"," 0.00"
"    Heart disease","15.5","15.4"," 0.00","17.8","17.9"," 0.00"
"    Heart failure"," 1.9"," 2.0"," 0.00"," 2.5"," 2.4"," 0.01"
"    Ischemic heart disease"," 3.0"," 3.1","-0.01"," 3.3"," 3.1"," 0.01"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","24.5","24.6"," 0.00","27.1","26.9"," 0.00"
"    Antidepressants","36.3","36.5"," 0.00","43.0","42.8"," 0.00"
"    Drugs for obstructive airway diseases","29.5","29.5"," 0.00","41.1","40.7"," 0.01"
"    Immunosuppressants","43.4","43.6"," 0.00","51.1","51.2"," 0.00"
"    Opioids","39.0","39.3","-0.01","41.4","41.2"," 0.00"
"    Psycholeptics","33.4","33.3"," 0.00","38.2","38.1"," 0.00"
