"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"All-cause mortality","Optum","1.03 (0.49 - 2.16)","0.94","1.05 (0.50 - 2.22)","0.89"
"All-cause mortality","VA","1.45 (0.96 - 2.22)","0.08","1.23 (0.81 - 1.88)","0.37"
"All-cause mortality","Meta-analysis","1.34 (0.93 - 1.92)","0.12","1.36 (0.94 - 1.96)","0.11"
"Cardiovascular-related mortality","Optum","1.72 (0.56 - 5.61)","0.36","1.76 (0.56 - 5.57)","0.34"
"Cardiovascular-related mortality","VA","2.33 (1.21 - 4.71)","0.01","1.98 (1.00 - 3.91)","0.06"
"Cardiovascular-related mortality","Meta-analysis","2.15 (1.20 - 3.87)","0.01","2.19 (1.22 - 3.94)","0.01"
"Myocardial infarction","CCAE","0.95 (0.39 - 2.34)","0.91","0.96 (0.39 - 2.33)","0.91"
"Myocardial infarction","MDCD","0.31 (0.07 - 1.15)","0.09","0.35 (0.09 - 1.40)","0.14"
"Myocardial infarction","MDCR","1.26 (0.52 - 3.26)","0.63","1.46 (0.58 - 3.68)","0.43"
"Myocardial infarction","OpenClaims","1.07 (0.85 - 1.34)","0.56","1.10 (0.87 - 1.39)","0.44"
"Myocardial infarction","Optum","1.19 (0.66 - 2.13)","0.57","1.22 (0.68 - 2.18)","0.52"
"Myocardial infarction","PanTher","0.92 (0.45 - 1.88)","0.81","0.97 (0.47 - 1.98)","0.90"
"Myocardial infarction","VA","1.16 (0.59 - 2.39)","0.68","0.98 (0.48 - 1.98)","0.88"
"Myocardial infarction","Meta-analysis","1.05 (0.87 - 1.27)","0.59","1.07 (0.88 - 1.30)","0.51"
"Chest pain or angina","AmbEMR","1.38 (0.77 - 2.53)","0.29","1.42 (0.78 - 2.59)","0.27"
"Chest pain or angina","CCAE","1.01 (0.82 - 1.24)","0.94","1.02 (0.82 - 1.25)","0.75"
"Chest pain or angina","MDCD","0.85 (0.49 - 1.45)","0.55","0.98 (0.57 - 1.69)","0.81"
"Chest pain or angina","MDCR","0.95 (0.67 - 1.33)","0.75","1.10 (0.77 - 1.56)","0.62"
"Chest pain or angina","OpenClaims","1.19 (1.08 - 1.31)","0.00","1.23 (1.10 - 1.36)","0.00"
"Chest pain or angina","Optum","1.19 (0.97 - 1.47)","0.09","1.22 (0.98 - 1.52)","0.10"
"Chest pain or angina","PanTher","1.03 (0.80 - 1.33)","0.83","1.08 (0.84 - 1.40)","0.57"
