"outcomeName","databaseId","targetSubjects","comparatorSubjects","targetYears","comparatorYears","targetOutcomes","comparatorOutcomes","targetIr","comparatorIr"
"Outcome","Database","Patients","","Follow-up","","Events","","IR",""
"","","HCQ+AZM","HCQ+AMX","HCQ+AZM","HCQ+AMX","HCQ+AZM","HCQ+AMX","HCQ+AZM","HCQ+AMX"
"All-cause mortality","Optum","23,597","24,521","17,223","14,641","268","276","15.56","18.85"
"All-cause mortality","VA","6,234","8,005","10,750","11,269","550","518","51.16","45.97"
"All-cause mortality","Meta-analysis","29,831","32,526","27,974","25,910","818","794","29.24","30.64"
"Cardiovascular-related mortality","Optum","23,597","24,521","17,274","14,690","96","82","5.56","5.58"
"Cardiovascular-related mortality","VA","6,234","8,005","10,750","11,269","157","115","14.60","10.20"
"Cardiovascular-related mortality","Meta-analysis","29,831","32,526","28,025","25,960","253","197","9.03","7.59"
"Myocardial infarction","CCAE","32,610","32,507","27,030","21,706","117","94","4.33","4.33"
"Myocardial infarction","MDCD","3,803","3,808","2,529","2,005","29","27","11.46","13.46"
"Myocardial infarction","MDCR","8,119","9,254","8,134","8,071","166","140","20.41","17.34"
"Myocardial infarction","OpenClaims","216,028","232,938","254,617","218,004","2,065","1,732","8.11","7.94"
"Myocardial infarction","Optum","23,565","24,484","16,888","14,422","179","147","10.60","10.19"
"Myocardial infarction","VA","6,203","7,978","10,410","10,954","154","127","14.79","11.59"
"Myocardial infarction","Meta-analysis","290,328","310,969","319,611","275,165","2,710","2,267","8.48","8.24"
"Chest pain or angina","AmbEMR","13,093","12,028","5,526","4,702","142","119","25.69","25.31"
"Chest pain or angina","CCAE","32,165","32,229","23,189","18,913","1,402","1,145","60.46","60.54"
"Chest pain or angina","MDCD","3,712","3,764","2,148","1,782","129","113","60.05","63.39"
"Chest pain or angina","MDCR","7,991","9,195","6,909","6,989","517","498","74.83","71.25"
"Chest pain or angina","OpenClaims","214,494","231,851","230,358","198,573","8,348","7,223","36.24","36.37"
"Chest pain or angina","Optum","23,206","24,254","14,488","12,620","1,019","887","70.33","70.28"
"Chest pain or angina","VA","6,121","7,912","8,836","9,305","340","371","38.48","39.87"
"Chest pain or angina","Meta-analysis","300,782","321,233","291,456","252,887","11,897","10,356","40.82","40.95"
"Heart failure","AmbEMR","13,152","12,053","5,844","4,917","61","49","10.44","9.96"
"Heart failure","CCAE","32,586","32,496","26,908","21,652","177","126","6.58","5.82"
"Heart failure","MDCD","3,796","3,795","2,474","1,933","65","48","26.26","24.83"
"Heart failure","MDCR","8,085","9,239","7,738","7,693","322","295","41.61","38.34"
"Heart failure","OpenClaims","215,732","232,725","248,676","213,109","4,352","3,714","17.50","17.43"
"Heart failure","Optum","23,541","24,468","16,574","14,008","337","317","20.33","22.63"
"Heart failure","VA","6,164","7,959","9,938","10,581","280","229","28.17","21.64"
"Heart failure","Meta-analysis","303,056","322,735","318,156","273,897","5,594","4,778","17.58","17.44"
"Cardiovascular events","CCAE","32,540","32,453","26,337","21,221","467","351","17.73","16.54"
"Cardiovascular events","MDCD","3,759","3,781","2,262","1,800","157","122","69.38","67.74"
"Cardiovascular events","MDCR","8,030","9,188","7,094","7,289","657","573","92.60","78.60"
"Cardiovascular events","OpenClaims","215,278","232,274","240,801","206,448","7,835","6,884","32.54","33.34"
"Cardiovascular events","Optum","23,434","24,361","15,868","13,547","723","669","45.56","49.38"
"Cardiovascular events","VA","6,047","7,866","9,307","10,095","544","445","58.44","44.08"
"Cardiovascular events","Meta-analysis","289,088","309,923","301,673","260,403","10,383","9,044","34.42","34.73"
"Cardiac arrhythmia","AmbEMR","13,076","11,977","5,602","4,790","116","90","20.70","18.79"
"Cardiac arrhythmia","CCAE","32,510","32,423","24,917","20,456","711","486","28.53","23.76"
"Cardiac arrhythmia","MDCD","3,781","3,787","2,351","1,841","88","77","37.42","41.80"
"Cardiac arrhythmia","MDCR","8,084","9,210","7,395","7,223","354","361","47.87","49.98"
"Cardiac arrhythmia","OpenClaims","215,473","232,391","240,263","206,010","5,724","4,989","23.82","24.22"
"Cardiac arrhythmia","Optum","23,475","24,403","15,653","13,314","556","482","35.52","36.20"
"Cardiac arrhythmia","VA","6,168","7,935","9,302","9,879","297","289","31.93","29.25"
"Bradycardia","AmbEMR","13,193","12,080","5,936","4,975","14","14","2.36","2.81"
"Bradycardia","CCAE","32,619","32,516","27,187","21,807","43","50","1.58","2.29"
"Bradycardia","MDCD","3,807","3,810","2,565","2,027","19","11","7.41","5.42"
"Bradycardia","MDCR","8,124","9,268","8,226","8,092","70","86","8.51","10.63"
"Bradycardia","OpenClaims","216,124","233,035","256,217","218,921","1,115","1,069","4.35","4.88"
"Bradycardia","Optum","23,580","24,509","17,021","14,521","108","96","6.34","6.61"
"Bradycardia","VA","6,227","8,000","10,487","11,061","64","60","6.10","5.42"
"Bradycardia","Meta-analysis","303,674","323,218","327,643","281,407","1,433","1,386","4.37","4.93"
"Transient ischemic attack","CCAE","32,609","32,505","27,013","21,719","111","77","4.11","3.55"
"Transient ischemic attack","MDCD","3,802","3,808","2,542","1,996","27","15","10.62","7.51"
"Transient ischemic attack","MDCR","8,121","9,259","8,118","8,095","118","102","14.53","12.60"
"Transient ischemic attack","OpenClaims","216,102","232,985","255,423","218,779","1,306","1,102","5.11","5.04"
"Transient ischemic attack","Optum","23,577","24,501","16,986","14,431","122","120","7.18","8.32"
"Transient ischemic attack","VA","6,231","8,000","10,558","11,097","54","41","5.11","3.69"
"Transient ischemic attack","Meta-analysis","290,442","311,058","320,642","276,121","1,738","1,457","5.42","5.28"
"Stroke","CCAE","32,609","32,508","27,030","21,698","131","94","4.85","4.33"
"Stroke","MDCD","3,803","3,808","2,542","1,993","36","29","14.16","14.55"
"Stroke","MDCR","8,118","9,257","8,070","8,019","156","173","19.33","21.57"
"Stroke","OpenClaims","216,089","232,948","254,066","217,352","2,063","1,858","8.12","8.55"
"Stroke","Optum","23,572","24,490","16,921","14,444","174","157","10.28","10.87"
"Stroke","VA","6,215","7,995","10,516","11,071","76","83","7.23","7.50"
"Stroke","Meta-analysis","290,406","311,006","319,147","274,580","2,636","2,394","8.26","8.72"
"Venous thromboembolism","AmbEMR","13,133","12,024","5,853","4,861","51","57","8.71","11.72"
"Venous thromboembolism","CCAE","32,559","32,467","26,490","21,432","339","227","12.80","10.59"
"Venous thromboembolism","MDCD","3,793","3,797","2,431","1,936","81","61","33.31","31.49"
"Venous thromboembolism","MDCR","8,104","9,239","7,881","7,838","228","204","28.93","26.03"
"Venous thromboembolism","OpenClaims","215,805","232,676","248,387","212,927","3,662","3,137","14.74","14.73"
"Venous thromboembolism","Optum","23,540","24,459","16,438","14,100","330","303","20.08","21.49"
"Venous thromboembolism","VA","6,203","7,977","10,101","10,677","175","165","17.32","15.45"
"Venous thromboembolism","Meta-analysis","303,137","322,639","317,583","273,773","4,866","4,154","15.32","15.17"
"Gastrointestinal bleeding","CCAE","32,609","32,486","26,991","21,682","137","128","5.08","5.90"
"Gastrointestinal bleeding","MDCD","3,805","3,797","2,503","1,964","58","35","23.17","17.82"
"Gastrointestinal bleeding","MDCR","8,118","9,231","8,100","7,965","172","170","21.23","21.34"
"Gastrointestinal bleeding","OpenClaims","216,032","232,795","253,588","217,048","2,245","2,009","8.85","9.26"
"Gastrointestinal bleeding","Optum","23,568","24,453","16,877","14,378","227","189","13.45","13.14"
"Gastrointestinal bleeding","VA","6,211","7,952","10,454","10,923","122","125","11.67","11.44"
"Gastrointestinal bleeding","Meta-analysis","290,343","310,714","318,516","273,962","2,961","2,656","9.30","9.69"
"Acute renal failure","CCAE","32,576","32,451","26,797","21,495","286","220","10.67","10.23"
"Acute renal failure","MDCD","3,774","3,789","2,372","1,908","110","77","46.36","40.34"
"Acute renal failure","MDCR","8,091","9,224","7,873","7,762","348","311","44.20","40.07"
"Acute renal failure","OpenClaims","215,716","232,429","248,349","212,402","4,977","4,565","20.04","21.49"
"Acute renal failure","Optum","23,534","24,413","16,467","13,998","476","444","28.90","31.72"
"Acute renal failure","VA","6,133","7,907","9,743","10,257","416","410","42.70","39.97"
"Acute renal failure","Meta-analysis","289,824","310,213","311,604","267,825","6,613","6,027","21.22","22.50"
"End stage renal disease","AmbEMR","13,197","12,079","5,950","4,997","7","5","1.18","1.00"
"End stage renal disease","CCAE","32,620","32,518","27,253","21,863","30","20","1.10","0.91"
"End stage renal disease","MDCD","3,806","3,809","2,585","2,017","18","10","6.96","4.96"
"End stage renal disease","MDCR","8,130","9,270","8,378","8,242","23","28","2.75","3.40"
"End stage renal disease","OpenClaims","216,166","233,078","257,941","220,636","558","507","2.16","2.30"
"End stage renal disease","Optum","23,594","24,521","17,217","14,616","31","36","1.80","2.46"
"End stage renal disease","VA","6,232","8,003","10,644","11,193","37","38","3.48","3.39"
"End stage renal disease","Meta-analysis","303,745","323,278","329,971","283,566","704","644","2.13","2.27"
"Hepatic failure","AmbEMR","13,197","12,084","5,972","5,004","<5","0","<0.84","0.00"
"Hepatic failure","CCAE","32,621","32,519","27,216","21,875","30","28","1.10","1.28"
"Hepatic failure","MDCD","3,807","3,809","2,607","2,038","6","6","2.30","2.94"
"Hepatic failure","MDCR","8,130","9,269","8,370","8,280","18","15","2.15","1.81"
"Hepatic failure","OpenClaims","216,181","233,088","258,715","221,148","306","311","1.18","1.41"
"Hepatic failure","Optum","23,592","24,516","17,253","14,670","38","27","2.20","1.84"
"Hepatic failure","VA","6,233","8,005","10,723","11,213","26","19","2.42","1.69"
"Hepatic failure","Meta-analysis","290,564","311,206","324,886","279,226","424","406","1.31","1.45"
"Acute pancreatitis","CCAE","32,611","32,513","27,104","21,797","70","55","2.58","2.52"
"Acute pancreatitis","MDCD","3,800","3,808","2,537","2,003","23","21","9.06","10.48"
"Acute pancreatitis","MDCR","8,129","9,268","8,326","8,217","32","32","3.84","3.89"
"Acute pancreatitis","OpenClaims","216,145","232,998","257,205","220,077","713","595","2.77","2.70"
"Acute pancreatitis","Optum","23,590","24,511","17,147","14,587","62","49","3.62","3.36"
"Acute pancreatitis","VA","6,232","7,995","10,584","11,131","39","41","3.68","3.68"
"Acute pancreatitis","Meta-analysis","290,507","311,093","322,905","277,814","939","793","2.91","2.85"
