"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.2"," 0.2"," 0.01",NA,NA,NA
"    20-24"," 0.8"," 1.0","-0.02",NA,NA,NA
"    25-29"," 1.4"," 1.6","-0.01"," 3.6"," 0.9"," 0.18"
"    30-34"," 2.9"," 3.1","-0.01"," 6.7"," 1.7"," 0.25"
"    35-39"," 5.0"," 4.8"," 0.01","10.0"," 3.1"," 0.28"
"    40-44"," 6.3"," 6.0"," 0.01"," 3.3"," 4.3","-0.05"
"    45-49"," 8.4"," 8.5"," 0.00"," 4.0"," 7.2","-0.14"
"    50-54","11.2","11.0"," 0.01"," 3.8","10.1","-0.25"
"    55-59","12.7","12.4"," 0.01"," 2.6","12.4","-0.38"
"    60-64","13.5","13.5"," 0.00","16.6","14.5"," 0.06"
"    65-69","12.9","13.0"," 0.00","19.7","14.7"," 0.13"
"Gender: female","70.7","71.0"," 0.00","74.1","73.8"," 0.01"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease"," 9.2"," 9.1"," 0.00","20.6","20.9","-0.01"
"    Chronic obstructive lung disease"," 2.2"," 2.3","-0.01"," 5.9"," 3.9"," 0.09"
"    Depressive disorder"," 2.9"," 2.7"," 0.01"," 2.6"," 2.5"," 0.00"
"    Diabetes mellitus"," 2.2"," 2.1"," 0.01"," 8.3"," 2.1"," 0.28"
"    Hyperlipidemia"," 1.1"," 1.2"," 0.00","<1.6"," 1.0","-0.10"
"    Pneumonia"," 0.7"," 0.7"," 0.00","<1.6"," 1.1","-0.02"
"    Renal impairment",NA,NA,NA,"<1.6"," 3.2","-0.18"
"    Urinary tract infectious disease"," 3.1"," 3.0"," 0.01"," 5.2"," 4.6"," 0.03"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 0.7"," 0.6"," 0.01","<1.6"," 1.1","-0.11"
"    Cerebrovascular disease"," 0.5"," 0.7","-0.02","<1.6"," 0.6","-0.02"
"    Coronary arteriosclerosis"," 0.1"," 0.1"," 0.02",NA,NA,NA
"    Heart disease"," 2.8"," 2.6"," 0.01","<1.6"," 3.8","-0.23"
"    Heart failure"," 0.4"," 0.4"," 0.01",NA,NA,NA
"    Ischemic heart disease"," 1.0"," 1.0"," 0.00",NA,NA,NA
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system"," 0.6"," 0.8","-0.02",NA,NA,NA
"    Antidepressants"," 1.0"," 1.2","-0.02","<1.6"," 1.1","-0.02"
"    Drugs for obstructive airway diseases"," 0.5"," 0.4"," 0.00","<1.6"," 0.7","-0.07"
"    Immunosuppressants"," 1.3"," 1.0"," 0.02","<1.6"," 1.8","-0.16"
"    Opioids"," 0.6"," 0.6","-0.01",NA,NA,NA
"    Psycholeptics"," 0.4"," 0.4","-0.01",NA,NA,NA
