"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.3"," 0.2"," 0.00",NA,NA,NA
"    20-24"," 0.9"," 0.9","-0.01"," 2.8"," 0.3"," 0.20"
"    25-29"," 1.4"," 1.6","-0.02"," 2.8"," 1.0"," 0.13"
"    30-34"," 3.0"," 3.0"," 0.00",NA,NA,NA
"    35-39"," 4.7"," 4.6"," 0.01"," 9.4"," 3.4"," 0.24"
"    40-44"," 6.2"," 6.4"," 0.00"," 8.9"," 4.8"," 0.16"
"    45-49"," 8.6"," 8.5"," 0.00"," 4.4"," 7.2","-0.12"
"    50-54","11.2","10.9"," 0.01"," 8.1","10.0","-0.07"
"    55-59","13.4","12.8"," 0.02"," 9.4","12.9","-0.11"
"    60-64","12.8","13.0","-0.01","13.3","14.2","-0.03"
"    65-69","12.6","12.7"," 0.00"," 9.2","14.3","-0.16"
"Gender: female",NA,NA,NA,"73.9","73.4"," 0.01"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease"," 9.4"," 9.3"," 0.01","29.2","21.1"," 0.19"
"    Chronic obstructive lung disease"," 2.2"," 2.0"," 0.01"," 6.7"," 3.8"," 0.13"
"    Depressive disorder"," 3.0"," 3.1"," 0.00","<1.9"," 2.5","-0.10"
"    Diabetes mellitus"," 2.1"," 2.2","-0.01"," 3.6"," 2.3"," 0.08"
"    Hyperlipidemia"," 1.2"," 1.0"," 0.01","<1.9"," 0.9","-0.08"
"    Pneumonia"," 0.9"," 0.6"," 0.03","<1.9"," 1.4","-0.05"
"    Renal impairment"," 1.9"," 2.2","-0.02"," 2.5"," 3.5","-0.06"
"    Urinary tract infectious disease",NA,NA,NA,"<1.9"," 5.2","-0.30"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 0.8"," 0.7"," 0.02","<1.9"," 1.1","-0.03"
"    Cerebrovascular disease"," 0.5"," 0.7","-0.03",NA,NA,NA
"    Coronary arteriosclerosis"," 0.1"," 0.1"," 0.00",NA,NA,NA
"    Heart disease"," 3.4"," 3.1"," 0.01","<1.9"," 3.8","-0.18"
"    Heart failure"," 0.7"," 0.6"," 0.01",NA,NA,NA
"    Ischemic heart disease"," 1.2"," 1.3","-0.01",NA,NA,NA
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","19.4","19.4"," 0.00","22.2","26.5","-0.10"
"    Antidepressants","25.0","24.9"," 0.00","29.7","31.9","-0.05"
"    Drugs for obstructive airway diseases",NA,NA,NA,"29.2","33.0","-0.08"
"    Immunosuppressants","42.2","43.0","-0.02","50.6","57.9","-0.15"
"    Opioids","39.0","38.9"," 0.00","45.3","39.3"," 0.12"
"    Psycholeptics","16.7","16.5"," 0.00","15.6","19.9","-0.11"
