"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"All-cause mortality","Optum","0.88 (0.72 - 1.06)","0.18","0.87 (0.71 - 1.06)","0.19"
"All-cause mortality","VA","1.00 (0.87 - 1.16)","0.96","0.97 (0.83 - 1.13)","0.69"
"All-cause mortality","Meta-analysis","0.95 (0.84 - 1.08)","0.46","0.95 (0.83 - 1.08)","0.43"
"Cardiovascular-related mortality","Optum","1.13 (0.81 - 1.59)","0.47","1.12 (0.80 - 1.58)","0.51"
"Cardiovascular-related mortality","VA","1.26 (0.94 - 1.70)","0.12","1.22 (0.91 - 1.65)","0.21"
"Cardiovascular-related mortality","Meta-analysis","1.21 (0.97 - 1.51)","0.10","1.20 (0.96 - 1.50)","0.12"
"Myocardial infarction","CCAE","1.05 (0.78 - 1.41)","0.77","1.00 (0.74 - 1.34)","0.91"
"Myocardial infarction","MDCD","0.59 (0.33 - 1.06)","0.08","0.67 (0.37 - 1.20)","0.19"
"Myocardial infarction","MDCR","1.10 (0.86 - 1.43)","0.45","1.17 (0.90 - 1.52)","0.27"
"Myocardial infarction","OpenClaims","1.03 (0.96 - 1.10)","0.40","1.02 (0.93 - 1.11)","0.71"
"Myocardial infarction","Optum","1.03 (0.81 - 1.32)","0.80","1.02 (0.80 - 1.32)","0.84"
"Myocardial infarction","VA","0.99 (0.75 - 1.33)","0.97","0.96 (0.72 - 1.28)","0.78"
"Myocardial infarction","Meta-analysis","1.03 (0.97 - 1.09)","0.39","1.02 (0.96 - 1.09)","0.58"
"Chest pain or angina","AmbEMR","0.91 (0.70 - 1.18)","0.48","0.94 (0.72 - 1.22)","0.65"
"Chest pain or angina","CCAE","1.03 (0.95 - 1.12)","0.45","0.98 (0.90 - 1.08)","0.69"
"Chest pain or angina","MDCD","1.01 (0.76 - 1.34)","0.97","1.14 (0.85 - 1.52)","0.42"
"Chest pain or angina","MDCR","1.07 (0.93 - 1.23)","0.36","1.13 (0.97 - 1.32)","0.16"
"Chest pain or angina","OpenClaims","0.97 (0.94 - 1.01)","0.14","0.96 (0.91 - 1.02)","0.29"
"Chest pain or angina","Optum","1.02 (0.92 - 1.13)","0.68","1.01 (0.91 - 1.13)","0.75"
"Chest pain or angina","VA","0.91 (0.76 - 1.08)","0.28","0.88 (0.73 - 1.05)","0.19"
"Chest pain or angina","Meta-analysis","0.99 (0.96 - 1.01)","0.35","0.98 (0.94 - 1.02)","0.41"
"Heart failure","AmbEMR","0.96 (0.64 - 1.46)","0.86","0.99 (0.66 - 1.50)","0.86"
"Heart failure","CCAE","1.07 (0.83 - 1.38)","0.59","1.02 (0.79 - 1.31)","0.87"
"Heart failure","MDCD","0.85 (0.56 - 1.30)","0.45","0.96 (0.63 - 1.48)","0.84"
"Heart failure","MDCR","1.05 (0.88 - 1.26)","0.57","1.12 (0.93 - 1.35)","0.30"
"Heart failure","OpenClaims","0.99 (0.95 - 1.04)","0.76","0.98 (0.91 - 1.05)","0.61"
"Heart failure","Optum","0.93 (0.79 - 1.11)","0.44","0.93 (0.77 - 1.11)","0.44"
"Heart failure","VA","1.17 (0.95 - 1.44)","0.14","1.13 (0.91 - 1.40)","0.30"
"Heart failure","Meta-analysis","1.00 (0.96 - 1.04)","0.97","0.99 (0.95 - 1.04)","0.77"
"Cardiovascular events","CCAE","1.05 (0.90 - 1.22)","0.53","1.00 (0.86 - 1.17)","0.84"
"Cardiovascular events","MDCD","0.88 (0.67 - 1.15)","0.36","1.00 (0.76 - 1.31)","0.80"
"Cardiovascular events","MDCR","1.09 (0.96 - 1.24)","0.19","1.16 (1.01 - 1.33)","0.08"
"Cardiovascular events","OpenClaims","0.99 (0.96 - 1.03)","0.67","0.98 (0.92 - 1.04)","0.57"
"Cardiovascular events","Optum","0.94 (0.83 - 1.06)","0.31","0.93 (0.82 - 1.06)","0.36"
"Cardiovascular events","VA","1.14 (0.98 - 1.33)","0.09","1.10 (0.94 - 1.29)","0.29"
"Cardiovascular events","Meta-analysis","1.01 (0.96 - 1.07)","0.65","1.01 (0.95 - 1.07)","0.80"
"Cardiac arrhythmia","AmbEMR","1.14 (0.84 - 1.54)","0.40","1.17 (0.86 - 1.58)","0.35"
"Cardiac arrhythmia","CCAE","1.18 (1.04 - 1.34)","0.01","1.12 (0.99 - 1.28)","0.10"
"Cardiac arrhythmia","MDCD","0.86 (0.61 - 1.22)","0.39","0.97 (0.69 - 1.38)","0.82"
"Cardiac arrhythmia","MDCR","0.81 (0.68 - 0.96)","0.01","0.86 (0.72 - 1.02)","0.14"
"Cardiac arrhythmia","OpenClaims","0.94 (0.90 - 0.98)","0.00","0.93 (0.87 - 0.99)","0.05"
"Cardiac arrhythmia","Optum","0.96 (0.84 - 1.10)","0.57","0.95 (0.82 - 1.10)","0.57"
"Cardiac arrhythmia","VA","1.05 (0.86 - 1.27)","0.63","1.01 (0.83 - 1.24)","0.82"
"Bradycardia","AmbEMR","0.88 (0.39 - 1.99)","0.76","0.91 (0.40 - 2.06)","0.81"
"Bradycardia","CCAE","0.79 (0.50 - 1.23)","0.29","0.75 (0.48 - 1.17)","0.21"
"Bradycardia","MDCD","0.91 (0.39 - 2.28)","0.84","1.04 (0.43 - 2.52)","0.92"
"Bradycardia","MDCR","0.71 (0.50 - 1.02)","0.06","0.75 (0.53 - 1.08)","0.15"
"Bradycardia","OpenClaims","0.95 (0.86 - 1.04)","0.22","0.93 (0.84 - 1.04)","0.22"
"Bradycardia","Optum","0.96 (0.70 - 1.32)","0.81","0.95 (0.69 - 1.31)","0.78"
"Bradycardia","VA","0.94 (0.61 - 1.44)","0.76","0.91 (0.59 - 1.39)","0.65"
"Bradycardia","Meta-analysis","0.93 (0.85 - 1.00)","0.06","0.92 (0.85 - 1.00)","0.07"
"Transient ischemic attack","CCAE","1.09 (0.79 - 1.50)","0.62","1.03 (0.75 - 1.42)","0.85"
"Transient ischemic attack","MDCD","1.36 (0.69 - 2.76)","0.39","1.53 (0.77 - 3.07)","0.23"
"Transient ischemic attack","MDCR","1.12 (0.82 - 1.52)","0.48","1.18 (0.87 - 1.62)","0.31"
"Transient ischemic attack","OpenClaims","1.02 (0.94 - 1.11)","0.63","1.01 (0.91 - 1.12)","0.86"
"Transient ischemic attack","Optum","0.93 (0.70 - 1.24)","0.61","0.92 (0.69 - 1.23)","0.59"
"Transient ischemic attack","VA","1.18 (0.72 - 1.93)","0.52","1.14 (0.69 - 1.86)","0.62"
"Transient ischemic attack","Meta-analysis","1.03 (0.96 - 1.11)","0.43","1.02 (0.95 - 1.11)","0.58"
"Stroke","CCAE","1.08 (0.81 - 1.44)","0.61","1.03 (0.77 - 1.38)","0.86"
"Stroke","MDCD","0.89 (0.52 - 1.53)","0.66","1.00 (0.58 - 1.73)","0.89"
"Stroke","MDCR","0.92 (0.72 - 1.18)","0.51","0.98 (0.76 - 1.26)","0.81"
"Stroke","OpenClaims","0.99 (0.93 - 1.06)","0.78","0.98 (0.90 - 1.07)","0.64"
"Stroke","Optum","0.98 (0.77 - 1.25)","0.88","0.97 (0.76 - 1.25)","0.83"
"Stroke","VA","1.20 (0.83 - 1.76)","0.34","1.16 (0.80 - 1.70)","0.45"
"Stroke","Meta-analysis","0.99 (0.93 - 1.06)","0.82","0.99 (0.92 - 1.05)","0.71"
"Venous thromboembolism","AmbEMR","0.80 (0.53 - 1.20)","0.27","0.82 (0.54 - 1.24)","0.36"
"Venous thromboembolism","CCAE","1.30 (1.08 - 1.57)","0.01","1.24 (1.03 - 1.49)","0.03"
"Venous thromboembolism","MDCD","1.01 (0.69 - 1.49)","0.96","1.14 (0.77 - 1.69)","0.52"
"Venous thromboembolism","MDCR","1.06 (0.86 - 1.32)","0.58","1.13 (0.90 - 1.41)","0.33"
"Venous thromboembolism","OpenClaims","1.03 (0.98 - 1.09)","0.25","1.02 (0.95 - 1.10)","0.66"
"Venous thromboembolism","Optum","1.00 (0.84 - 1.20)","0.97","0.99 (0.83 - 1.19)","0.85"
"Venous thromboembolism","VA","1.16 (0.90 - 1.50)","0.26","1.12 (0.86 - 1.45)","0.41"
"Venous thromboembolism","Meta-analysis","1.06 (0.98 - 1.15)","0.13","1.06 (0.97 - 1.15)","0.22"
"Gastrointestinal bleeding","CCAE","0.86 (0.66 - 1.12)","0.27","0.82 (0.63 - 1.07)","0.15"
"Gastrointestinal bleeding","MDCD","1.37 (0.86 - 2.20)","0.19","1.55 (0.97 - 2.49)","0.08"
"Gastrointestinal bleeding","MDCR","0.96 (0.75 - 1.22)","0.73","1.02 (0.79 - 1.31)","0.82"
"Gastrointestinal bleeding","OpenClaims","1.00 (0.93 - 1.06)","0.89","0.98 (0.90 - 1.07)","0.70"
"Gastrointestinal bleeding","Optum","1.12 (0.90 - 1.40)","0.32","1.11 (0.88 - 1.39)","0.39"
"Gastrointestinal bleeding","VA","1.23 (0.90 - 1.67)","0.19","1.19 (0.87 - 1.62)","0.30"
"Gastrointestinal bleeding","Meta-analysis","1.02 (0.94 - 1.10)","0.71","1.01 (0.93 - 1.10)","0.83"
"Acute renal failure","CCAE","1.08 (0.89 - 1.31)","0.43","1.03 (0.85 - 1.25)","0.78"
