"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"All-cause mortality","CPRD","1.24 (0.33 - 4.99)","0.75","1.51 (0.38 - 6.04)","0.57"
"All-cause mortality","IMRD","0.41 (0.06 - 1.93)","0.32","0.63 (0.10 - 3.80)","0.63"
"All-cause mortality","Optum","0.41 (0.19 - 0.97)","0.04","0.45 (0.20 - 1.04)","0.07"
"All-cause mortality","VA","0.99 (0.56 - 1.85)","0.98","0.99 (0.54 - 1.81)","0.90"
"All-cause mortality","Meta-analysis","0.72 (0.42 - 1.24)","0.24","0.76 (0.44 - 1.32)","0.33"
"Cardiovascular-related mortality","Optum","0.95 (0.32 - 3.48)","0.93","1.04 (0.31 - 3.41)","0.94"
"Cardiovascular-related mortality","VA","2.48 (0.57 - 17.35)","0.30","2.47 (0.45 - 13.69)","0.30"
"Cardiovascular-related mortality","Meta-analysis","1.30 (0.49 - 3.44)","0.60","1.35 (0.51 - 3.63)","0.55"
"Myocardial infarction","CCAE","0.84 (0.41 - 1.84)","0.65","0.79 (0.37 - 1.70)","0.57"
"Myocardial infarction","MDCD","0.69 (0.24 - 2.30)","0.52","0.73 (0.23 - 2.27)","0.58"
"Myocardial infarction","MDCR","0.80 (0.38 - 1.81)","0.58","0.84 (0.39 - 1.84)","0.67"
"Myocardial infarction","OpenClaims","1.20 (0.95 - 1.53)","0.13","1.20 (0.94 - 1.53)","0.17"
"Myocardial infarction","Optum","0.79 (0.46 - 1.40)","0.41","0.87 (0.49 - 1.52)","0.63"
"Myocardial infarction","PanTher","1.08 (0.59 - 2.16)","0.81","1.14 (0.60 - 2.18)","0.69"
"Myocardial infarction","VA","1.79 (0.83 - 4.22)","0.16","1.79 (0.79 - 4.04)","0.17"
"Myocardial infarction","Meta-analysis","1.09 (0.91 - 1.32)","0.35","1.14 (0.91 - 1.43)","0.31"
"Chest pain or angina","AmbEMR","0.89 (0.59 - 1.37)","0.58","1.08 (0.71 - 1.66)","0.72"
"Chest pain or angina","CCAE","0.96 (0.79 - 1.18)","0.70","0.91 (0.72 - 1.14)","0.51"
"Chest pain or angina","CPRD","0.74 (0.30 - 1.74)","0.50","0.90 (0.36 - 2.23)","0.57"
"Chest pain or angina","DAGermany","0.75 (0.14 - 3.40)","0.73","0.41 (0.08 - 2.06)","0.31"
"Chest pain or angina","IMRD","0.72 (0.27 - 1.91)","0.52","1.11 (0.39 - 3.17)","0.64"
