"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.2"," 0.3","-0.01"," 0.2"," 0.3","-0.02"
"    20-24"," 1.0"," 1.0"," 0.00"," 1.1"," 0.8"," 0.03"
"    25-29"," 1.8"," 1.9","-0.01"," 1.9"," 1.6"," 0.02"
"    30-34"," 3.1"," 3.0"," 0.00"," 2.9"," 2.9"," 0.00"
"    35-39"," 4.2"," 4.2"," 0.00"," 4.1"," 4.1"," 0.00"
"    40-44"," 5.9"," 5.6"," 0.01"," 5.7"," 6.0","-0.01"
"    45-49"," 7.9"," 7.9"," 0.00"," 7.3"," 7.4"," 0.00"
"    50-54","11.6","11.5"," 0.00","10.5","10.3"," 0.01"
"    55-59","14.0","14.3","-0.01","13.2","13.9","-0.02"
"    60-64","13.5","13.4"," 0.00","13.9","13.8"," 0.00"
"    65-69","12.3","12.6","-0.01","12.4","12.5"," 0.00"
"Gender: female","78.2","78.6","-0.01","82.9","82.7"," 0.01"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","17.9","18.1"," 0.00","52.6","51.8"," 0.02"
"    Chronic obstructive lung disease"," 8.6"," 8.9","-0.01","15.2","15.1"," 0.00"
"    Depressive disorder","15.6","15.7"," 0.00","23.9","23.4"," 0.01"
"    Diabetes mellitus","15.0","15.3","-0.01","18.8","18.4"," 0.01"
"    Hyperlipidemia","30.5","30.6"," 0.00","39.7","39.4"," 0.01"
"    Pneumonia"," 5.0"," 5.0"," 0.00","14.7","12.4"," 0.07"
"    Renal impairment"," 7.4"," 7.7","-0.01","13.2","12.6"," 0.02"
"    Urinary tract infectious disease"," 7.2"," 7.1"," 0.00","13.7","13.2"," 0.02"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation",NA,NA,NA," 6.9"," 7.1","-0.01"
"    Cerebrovascular disease",NA,NA,NA," 4.8"," 4.5"," 0.01"
"    Coronary arteriosclerosis"," 8.3"," 8.5","-0.01","12.5","12.5"," 0.00"
"    Heart disease","20.7","21.1","-0.01","31.1","30.3"," 0.02"
"    Heart failure"," 4.7"," 4.9","-0.01"," 9.4"," 8.6"," 0.03"
"    Ischemic heart disease"," 4.4"," 4.5"," 0.00"," 7.2"," 7.0"," 0.01"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","30.8","31.3","-0.01","36.9","36.5"," 0.01"
"    Antidepressants","35.8","36.3","-0.01","48.1","48.3"," 0.00"
"    Drugs for obstructive airway diseases","34.6","35.0","-0.01","58.6","59.1","-0.01"
"    Immunosuppressants","49.2","50.2","-0.02","55.1","55.5","-0.01"
"    Opioids","39.6","40.3","-0.01","52.3","52.2"," 0.00"
"    Psycholeptics","35.1","35.5","-0.01","49.2","49.5","-0.01"
