"Outcome","Database","HR (95% CI)","P","Cal. HR (95% CI)","Cal. p"
"All-cause mortality","CPRD","1.07 (0.89 - 1.30)","0.46","1.02 (0.54 - 1.93)","0.81"
"All-cause mortality","IMRD","1.03 (0.83 - 1.27)","0.81","0.92 (0.58 - 1.47)","0.76"
"All-cause mortality","Optum","1.61 (1.25 - 2.12)","0.00","1.66 (1.21 - 2.26)","0.00"
"All-cause mortality","VA","1.33 (1.17 - 1.51)","0.00","1.36 (1.19 - 1.56)","0.00"
"Cardiovascular-related mortality","CPRD","0.78 (0.27 - 1.97)","0.62","0.74 (0.23 - 2.37)","0.63"
"Cardiovascular-related mortality","Optum","1.92 (1.28 - 3.01)","0.00","1.97 (1.25 - 3.12)","0.01"
"Cardiovascular-related mortality","VA","1.65 (1.25 - 2.21)","0.00","1.69 (1.27 - 2.25)","0.00"
"Cardiovascular-related mortality","Meta-analysis","1.63 (1.21 - 2.20)","0.00","1.65 (1.12 - 2.44)","0.01"
"Myocardial infarction","CCAE","1.19 (0.87 - 1.66)","0.29","1.19 (0.85 - 1.67)","0.36"
"Myocardial infarction","MDCD","1.30 (0.74 - 2.44)","0.39","1.26 (0.69 - 2.28)","0.45"
"Myocardial infarction","MDCR","0.96 (0.74 - 1.27)","0.77","1.01 (0.76 - 1.34)","0.85"
"Myocardial infarction","OpenClaims","1.13 (1.05 - 1.21)","0.00","1.13 (0.88 - 1.44)","0.36"
"Myocardial infarction","Optum","0.96 (0.78 - 1.18)","0.67","0.98 (0.75 - 1.28)","0.86"
"Myocardial infarction","VA","1.04 (0.85 - 1.29)","0.69","1.07 (0.86 - 1.32)","0.58"
"Myocardial infarction","Meta-analysis","1.10 (1.04 - 1.17)","0.00","1.11 (0.86 - 1.44)","0.41"
"Chest pain or angina","AmbEMR","1.03 (0.82 - 1.29)","0.83","1.07 (0.86 - 1.35)","0.57"
"Chest pain or angina","CCAE","1.00 (0.92 - 1.09)","0.97","1.00 (0.88 - 1.14)","0.81"
"Chest pain or angina","CPRD","0.96 (0.80 - 1.15)","0.68","0.92 (0.49 - 1.72)","0.77"
"Chest pain or angina","DAGermany","1.15 (0.68 - 1.93)","0.59","0.86 (0.51 - 1.45)","0.60"
"Chest pain or angina","IMRD","0.90 (0.74 - 1.09)","0.29","0.81 (0.52 - 1.28)","0.53"
"Chest pain or angina","MDCD","1.10 (0.88 - 1.39)","0.40","1.07 (0.85 - 1.34)","0.58"
"Chest pain or angina","MDCR","1.01 (0.88 - 1.15)","0.92","1.06 (0.91 - 1.23)","0.56"
"Chest pain or angina","OpenClaims","1.01 (0.98 - 1.03)","0.71","1.00 (0.79 - 1.27)","0.91"
"Chest pain or angina","Optum","0.96 (0.89 - 1.04)","0.36","0.99 (0.82 - 1.19)","0.84"
"Chest pain or angina","VA","1.00 (0.91 - 1.11)","0.99","1.02 (0.92 - 1.14)","0.72"
"Chest pain or angina","Meta-analysis","1.00 (0.98 - 1.02)","0.98","1.01 (0.79 - 1.30)","0.89"
"Heart failure","AmbEMR","0.99 (0.72 - 1.39)","0.95","1.04 (0.74 - 1.45)","0.82"
"Heart failure","CCAE","0.96 (0.74 - 1.27)","0.78","0.96 (0.72 - 1.28)","0.83"
"Heart failure","CPRD","1.47 (0.74 - 2.79)","0.26","1.40 (0.57 - 3.43)","0.49"
"Heart failure","DAGermany","0.66 (0.29 - 1.42)","0.31","0.49 (0.22 - 1.09)","0.09"
"Heart failure","IMRD","1.44 (0.68 - 2.97)","0.33","1.30 (0.56 - 3.02)","0.59"
"Heart failure","MDCD","0.88 (0.57 - 1.38)","0.55","0.85 (0.55 - 1.31)","0.46"
"Heart failure","MDCR","0.90 (0.74 - 1.09)","0.26","0.94 (0.77 - 1.16)","0.61"
"Heart failure","OpenClaims","1.04 (0.99 - 1.09)","0.12","1.03 (0.81 - 1.32)","0.79"
"Heart failure","Optum","1.01 (0.86 - 1.19)","0.89","1.04 (0.83 - 1.30)","0.78"
"Heart failure","VA","1.01 (0.88 - 1.17)","0.84","1.04 (0.90 - 1.20)","0.67"
"Heart failure","Meta-analysis","1.02 (0.98 - 1.07)","0.24","1.04 (0.81 - 1.33)","0.78"
"Cardiovascular events","CCAE","0.98 (0.83 - 1.16)","0.81","0.98 (0.81 - 1.19)","0.84"
"Cardiovascular events","MDCD","1.04 (0.81 - 1.35)","0.76","1.01 (0.78 - 1.30)","0.81"
"Cardiovascular events","MDCR","0.92 (0.81 - 1.04)","0.18","0.97 (0.84 - 1.12)","0.66"
"Cardiovascular events","OpenClaims","1.01 (0.98 - 1.05)","0.42","1.01 (0.80 - 1.28)","0.90"
"Cardiovascular events","Optum","1.03 (0.93 - 1.14)","0.60","1.06 (0.87 - 1.28)","0.66"
"Cardiovascular events","VA","1.02 (0.92 - 1.14)","0.66","1.05 (0.94 - 1.17)","0.50"
"Cardiovascular events","Meta-analysis","1.01 (0.98 - 1.04)","0.52","1.02 (0.80 - 1.31)","0.86"
"Cardiac arrhythmia","AmbEMR","0.75 (0.62 - 0.91)","0.00","0.78 (0.64 - 0.96)","0.03"
