"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 1.2"," 1.3","-0.01"," 1.2"," 1.5","-0.02"
"    20-24"," 2.1"," 3.1","-0.06"," 2.7"," 2.3"," 0.03"
"    25-29"," 4.3"," 4.2"," 0.00"," 5.1"," 4.5"," 0.03"
"    30-34"," 6.4"," 6.9","-0.02"," 6.9"," 7.0","-0.01"
"    35-39"," 8.8"," 8.8"," 0.00"," 9.0"," 9.5","-0.02"
"    40-44","10.0"," 9.1"," 0.03","10.8","10.7"," 0.00"
"    45-49","13.2","13.7","-0.01","12.8","13.7","-0.03"
"    50-54","16.2","15.9"," 0.01","16.3","16.0"," 0.01"
"    55-59","15.9","15.5"," 0.01","15.5","16.2","-0.02"
"    60-64","12.3","12.9","-0.02","11.8","11.0"," 0.02"
"    65-69"," 4.6"," 4.2"," 0.02"," 4.1"," 3.5"," 0.03"
"Gender: female","84.4","84.5"," 0.00","89.3","89.9","-0.02"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","41.5","41.6"," 0.00","61.4","63.4","-0.04"
"    Chronic obstructive lung disease","21.2","21.5","-0.01","22.3","25.6","-0.08"
"    Depressive disorder","35.5","35.8","-0.01","40.9","41.1"," 0.00"
"    Diabetes mellitus",NA,NA,NA,"26.3","26.1"," 0.00"
"    Hyperlipidemia","36.4","38.3","-0.04","37.9","37.0"," 0.02"
"    Pneumonia"," 8.5"," 8.0"," 0.02","12.1","12.4","-0.01"
"    Renal impairment"," 9.2"," 8.3"," 0.03","10.8","12.0","-0.04"
"    Urinary tract infectious disease","17.4","16.6"," 0.02","21.3","21.2"," 0.00"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 3.2"," 3.2"," 0.00"," 2.8"," 3.0","-0.01"
"    Cerebrovascular disease"," 5.1"," 5.3","-0.01"," 6.2"," 6.1"," 0.00"
"    Coronary arteriosclerosis"," 9.6","10.1","-0.02"," 9.8","10.0"," 0.00"
"    Heart disease","29.0","28.8"," 0.00","32.2","33.2","-0.02"
"    Heart failure",NA,NA,NA," 9.4","10.5","-0.04"
"    Ischemic heart disease"," 7.1"," 8.0","-0.03"," 8.4"," 7.5"," 0.04"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","32.5","32.9","-0.01","35.0","35.0"," 0.00"
"    Antidepressants","53.5","53.0"," 0.01","62.3","62.4"," 0.00"
"    Drugs for obstructive airway diseases","46.2","46.5","-0.01","59.0","60.3","-0.03"
"    Immunosuppressants","44.4","41.8"," 0.05","51.5","51.8"," 0.00"
"    Opioids","62.0","62.7","-0.01","67.6","68.7","-0.02"
"    Psycholeptics","49.3","50.0","-0.01","57.4","57.6"," 0.00"
