"analysisShortName","comparison","outcomeName","databaseId","targetSubjects","comparatorSubjects","targetYears","comparatorYears","targetOutcomes","comparatorOutcomes","targetIr","comparatorIr"
"Follow-up","Comparison","Outcome","Database","Patients","","Follow-up","","Events","","IR",""
"","T vs C","","","T","C","T","C","T","C","T","C"
"30-day","HCQ vs SSZ","CV-related mortality","Optum","51,280","17,389","4,161","1,411","16","<5","3.85","<3.54"
"30-day","HCQ vs SSZ","CV-related mortality","VA","32,028","14,349","2,627","1,176","9","<5","3.43","<4.25"
"30-day","HCQ vs SSZ","CV-related mortality","Meta-analysis","83,308","31,738","6,788","2,588","25","<10","3.68","<3.86"
"30-day","HCQ vs SSZ","Chest pain or angina","AmbEMR","57,140","15,268","4,684","1,251","122","31","26.04","24.76"
"30-day","HCQ vs SSZ","Chest pain or angina","CCAE","65,935","22,173","5,338","1,795","440","143","82.41","79.62"
"30-day","HCQ vs SSZ","Chest pain or angina","CPRD","9,114","11,388","746","933","10","17","13.40","18.22"
"30-day","HCQ vs SSZ","Chest pain or angina","DAGermany","3,884","5,045","318","414","<5","5","<15.69","12.07"
"30-day","HCQ vs SSZ","Chest pain or angina","IMRD","8,843","8,452","722","691","9","10","12.45","14.46"
"30-day","HCQ vs SSZ","Chest pain or angina","MDCD","7,982","2,177","647","176","80","23","123.50","130.43"
"30-day","HCQ vs SSZ","Chest pain or angina","MDCR","15,690","5,150","1,274","417","129","49","101.25","117.43"
"30-day","HCQ vs SSZ","Chest pain or angina","OpenClaims","617,628","182,776","50,613","14,977","2,674","804","52.83","53.68"
"30-day","HCQ vs SSZ","Chest pain or angina","Optum","50,698","17,221","4,098","1,390","396","166","96.62","119.34"
"30-day","HCQ vs SSZ","Chest pain or angina","PanTher","76,844","21,549","6,199","1,738","629","143","101.46","82.23"
"30-day","HCQ vs SSZ","Chest pain or angina","VA","31,824","14,276","2,605","1,168","130","54","49.89","46.20"
"30-day","HCQ vs SSZ","Chest pain or angina","Meta-analysis","945,582","305,475","77,249","24,956","<4,624","1,445","<59.86","57.90"
"30-day","HCQ vs SSZ","Heart failure","AmbEMR","57,383","15,305","4,707","1,255","42","10","8.92","7.96"
"30-day","HCQ vs SSZ","Heart failure","CCAE","66,604","22,370","5,410","1,817","30","5","5.55","2.75"
"30-day","HCQ vs SSZ","Heart failure","CPRD","9,126","11,397","747","934","<5","<5","<6.69","<5.35"
"30-day","HCQ vs SSZ","Heart failure","DAGermany","3,885","5,042","318","413","<5","<5","<15.68","<12.08"
"30-day","HCQ vs SSZ","Heart failure","IMRD","8,852","8,460","723","692","<5","<5","<6.91","<7.22"
"30-day","HCQ vs SSZ","Heart failure","MDCD","8,072","2,195","657","178","15","<5","22.81","<27.99"
"30-day","HCQ vs SSZ","Heart failure","MDCR","15,808","5,171","1,287","420","39","19","30.30","45.22"
"30-day","HCQ vs SSZ","Heart failure","OpenClaims","620,244","183,350","50,903","15,048","749","214","14.71","14.22"
"30-day","HCQ vs SSZ","Heart failure","Optum","51,204","17,356","4,151","1,407","84","25","20.23","17.76"
"30-day","HCQ vs SSZ","Heart failure","PanTher","77,813","21,768","6,295","1,761","237","50","37.64","28.39"
"30-day","HCQ vs SSZ","Heart failure","VA","31,895","14,307","2,614","1,172","56","17","21.42","14.49"
"30-day","HCQ vs SSZ","Heart failure","Meta-analysis","950,886","306,721","77,817","25,102","<1,267","<360","<16.28","<14.34"
"30-day","AZM vs AMX","CV-related mortality","Optum","23,597","24,521","1,915","1,987","9","6","4.70","3.02"
"30-day","AZM vs AMX","CV-related mortality","VA","6,234","8,005","507","654","46","18","90.60","27.49"
"30-day","AZM vs AMX","CV-related mortality","Meta-analysis","29,831","32,526","2,422","2,642","55","24","22.70","9.08"
"30-day","AZM vs AMX","Chest pain or angina","AmbEMR","13,093","12,028","1,073","986","32","21","29.80","21.29"
"30-day","AZM vs AMX","Chest pain or angina","CCAE","32,165","32,229","2,598","2,605","241","211","92.76","80.98"
"30-day","AZM vs AMX","Chest pain or angina","MDCD","3,712","3,764","300","304","30","37","99.97","121.56"
"30-day","AZM vs AMX","Chest pain or angina","MDCR","7,991","9,195","644","744","81","85","125.60","114.20"
"30-day","AZM vs AMX","Chest pain or angina","OpenClaims","214,494","231,851","17,569","19,000","1,050","888","59.76","46.74"
"30-day","AZM vs AMX","Chest pain or angina","Optum","23,206","24,254","1,872","1,957","244","203","130.28","103.70"
"30-day","AZM vs AMX","Chest pain or angina","PanTher","18,039","16,191","1,453","1,308","218","134","150.01","102.42"
"30-day","AZM vs AMX","Chest pain or angina","VA","6,121","7,912","495","644","58","50","116.96","77.52"
"30-day","AZM vs AMX","Chest pain or angina","Meta-analysis","318,821","337,424","26,007","27,551","1,954","1,629","75.13","59.12"
"30-day","AZM vs AMX","Heart failure","AmbEMR","13,152","12,053","1,078","988","16","16","14.83","16.18"
"30-day","AZM vs AMX","Heart failure","CCAE","32,586","32,496","2,641","2,635","30","23","11.36","8.73"
"30-day","AZM vs AMX","Heart failure","MDCD","3,796","3,795","307","308","16","9","52.08","29.21"
"30-day","AZM vs AMX","Heart failure","MDCR","8,085","9,239","653","750","45","33","68.88","43.97"
"30-day","AZM vs AMX","Heart failure","OpenClaims","215,732","232,725","17,693","19,093","472","370","26.68","19.38"
"30-day","AZM vs AMX","Heart failure","Optum","23,541","24,468","1,907","1,981","65","49","34.08","24.73"
"30-day","AZM vs AMX","Heart failure","PanTher","18,054","16,298","1,460","1,320","99","60","67.77","45.45"
"30-day","AZM vs AMX","Heart failure","VA","6,164","7,959","498","649","79","31","158.53","47.73"
"30-day","AZM vs AMX","Heart failure","Meta-analysis","321,110","339,033","26,241","27,726","822","591","31.32","21.32"
"On-treatment","HCQ vs SSZ","CV-related mortality","CPRD","9,127","11,398","18,045","26,519","7","25","0.39","0.94"
"On-treatment","HCQ vs SSZ","CV-related mortality","Optum","51,280","17,389","53,331","12,476","234","25","4.39","2.00"
"On-treatment","HCQ vs SSZ","CV-related mortality","VA","32,028","14,349","55,314","17,537","315","65","5.69","3.71"
"On-treatment","HCQ vs SSZ","CV-related mortality","Meta-analysis","92,435","43,136","126,690","56,533","556","115","4.39","2.03"
"On-treatment","HCQ vs SSZ","Chest pain or angina","AmbEMR","57,140","15,268","18,452","5,631","451","112","24.44","19.89"
"On-treatment","HCQ vs SSZ","Chest pain or angina","CCAE","65,935","22,173","60,983","13,775","3,354","810","55.00","58.80"
"On-treatment","HCQ vs SSZ","Chest pain or angina","CPRD","9,114","11,388","17,340","25,145","260","422","14.99","16.78"
"On-treatment","HCQ vs SSZ","Chest pain or angina","DAGermany","3,884","5,045","2,508","3,507","31","36","12.36","10.26"
"On-treatment","HCQ vs SSZ","Chest pain or angina","IMRD","8,843","8,452","16,780","18,027","235","293","14.00","16.25"
"On-treatment","HCQ vs SSZ","Chest pain or angina","MDCD","7,982","2,177","5,346","1,165","467","100","87.34","85.81"
"On-treatment","HCQ vs SSZ","Chest pain or angina","MDCR","15,690","5,150","16,502","3,714","1,178","279","71.38","75.12"
"On-treatment","HCQ vs SSZ","Chest pain or angina","OpenClaims","617,628","182,776","807,394","162,642","31,161","6,198","38.59","38.11"
"On-treatment","HCQ vs SSZ","Chest pain or angina","Optum","50,698","17,221","48,159","11,437","3,185","829","66.13","72.48"
"On-treatment","HCQ vs SSZ","Chest pain or angina","VA","31,824","14,276","50,773","16,375","1,822","611","35.88","37.31"
"On-treatment","HCQ vs SSZ","Chest pain or angina","Meta-analysis","868,738","283,926","1,044,240","261,422","42,144","9,690","40.36","37.07"
"On-treatment","HCQ vs SSZ","Heart failure","AmbEMR","57,383","15,305","18,647","5,656","182","53","9.76","9.37"
"On-treatment","HCQ vs SSZ","Heart failure","CCAE","66,604","22,370","65,772","14,581","305","74","4.64","5.07"
"On-treatment","HCQ vs SSZ","Heart failure","CPRD","9,126","11,397","18,014","26,442","16","36","0.89","1.36"
"On-treatment","HCQ vs SSZ","Heart failure","DAGermany","3,885","5,042","2,561","3,535","11","22","4.29","6.22"
"On-treatment","HCQ vs SSZ","Heart failure","IMRD","8,852","8,460","17,344","18,905","15","21","0.86","1.11"
"On-treatment","HCQ vs SSZ","Heart failure","MDCD","8,072","2,195","5,742","1,216","118","28","20.55","23.02"
"On-treatment","HCQ vs SSZ","Heart failure","MDCR","15,808","5,171","17,689","3,885","586","141","33.13","36.29"
"On-treatment","HCQ vs SSZ","Heart failure","OpenClaims","620,244","183,350","852,570","169,864","12,246","2,246","14.36","13.22"
"On-treatment","HCQ vs SSZ","Heart failure","Optum","51,204","17,356","52,137","12,248","915","207","17.55","16.90"
"On-treatment","HCQ vs SSZ","Heart failure","VA","31,895","14,307","53,561","16,988","897","296","16.75","17.42"
"On-treatment","HCQ vs SSZ","Heart failure","Meta-analysis","873,073","284,953","1,104,043","273,322","15,291","3,124","13.85","11.43"
"On-treatment","AZM vs AMX","CV-related mortality","Optum","23,597","24,521","17,274","14,690","96","82","5.56","5.58"
"On-treatment","AZM vs AMX","CV-related mortality","VA","6,234","8,005","10,750","11,269","157","115","14.60","10.20"
"On-treatment","AZM vs AMX","CV-related mortality","Meta-analysis","29,831","32,526","28,025","25,960","253","197","9.03","7.59"
"On-treatment","AZM vs AMX","Chest pain or angina","AmbEMR","13,093","12,028","5,526","4,702","142","119","25.69","25.31"
"On-treatment","AZM vs AMX","Chest pain or angina","CCAE","32,165","32,229","23,189","18,913","1,402","1,145","60.46","60.54"
"On-treatment","AZM vs AMX","Chest pain or angina","MDCD","3,712","3,764","2,148","1,782","129","113","60.05","63.39"
"On-treatment","AZM vs AMX","Chest pain or angina","MDCR","7,991","9,195","6,909","6,989","517","498","74.83","71.25"
"On-treatment","AZM vs AMX","Chest pain or angina","OpenClaims","214,494","231,851","230,358","198,573","8,348","7,223","36.24","36.37"
"On-treatment","AZM vs AMX","Chest pain or angina","Optum","23,206","24,254","14,488","12,620","1,019","887","70.33","70.28"
"On-treatment","AZM vs AMX","Chest pain or angina","VA","6,121","7,912","8,836","9,305","340","371","38.48","39.87"
"On-treatment","AZM vs AMX","Chest pain or angina","Meta-analysis","300,782","321,233","291,456","252,887","11,897","10,356","40.82","40.95"
"On-treatment","AZM vs AMX","Heart failure","AmbEMR","13,152","12,053","5,844","4,917","61","49","10.44","9.96"
"On-treatment","AZM vs AMX","Heart failure","CCAE","32,586","32,496","26,908","21,652","177","126","6.58","5.82"
"On-treatment","AZM vs AMX","Heart failure","MDCD","3,796","3,795","2,474","1,933","65","48","26.26","24.83"
"On-treatment","AZM vs AMX","Heart failure","MDCR","8,085","9,239","7,738","7,693","322","295","41.61","38.34"
"On-treatment","AZM vs AMX","Heart failure","OpenClaims","215,732","232,725","248,676","213,109","4,352","3,714","17.50","17.43"
"On-treatment","AZM vs AMX","Heart failure","Optum","23,541","24,468","16,574","14,008","337","317","20.33","22.63"
"On-treatment","AZM vs AMX","Heart failure","VA","6,164","7,959","9,938","10,581","280","229","28.17","21.64"
"On-treatment","AZM vs AMX","Heart failure","Meta-analysis","303,056","322,735","318,156","273,897","5,594","4,778","17.58","17.44"
