"a","eT","fT","gT","eC","fC","gC"
"","HCQ vs SSZ","","","AZM vs AMX","",""
"","HCQ","SSZ","","AZM","AMX",""
"Characteristic","%","%","Std. diff","%","%","Std. diff"
"    15-19"," 0.3"," 0.4","-0.02"," 0.2"," 0.3"," 0.00"
"    20-24"," 1.1"," 1.1","-0.01"," 0.9"," 1.0","-0.01"
"    25-29"," 1.8"," 1.8"," 0.00"," 1.5"," 1.4"," 0.01"
"    30-34"," 3.3"," 3.3"," 0.00"," 3.0"," 2.8"," 0.01"
"    35-39"," 4.9"," 4.8"," 0.00"," 4.3"," 4.4","-0.01"
"    40-44"," 6.8"," 6.5"," 0.01"," 6.6"," 6.4"," 0.01"
"    45-49"," 8.9"," 8.9"," 0.00"," 8.6"," 8.9","-0.01"
"    50-54","11.6","11.7"," 0.00",NA,NA,NA
"    55-59","12.7","12.8"," 0.00","13.9","13.6"," 0.01"
"    60-64","11.9","11.9"," 0.00","13.3","13.0"," 0.01"
"    65-69","11.6","11.7"," 0.00","12.4","12.6","-0.01"
"Gender: female","77.6","77.6"," 0.00","84.0","83.9"," 0.00"
"Medical history: General","  ","  ","   ","  ","  ","   "
"    Acute respiratory disease","34.2","34.2"," 0.00","57.7","57.7"," 0.00"
"    Chronic obstructive lung disease","11.1","11.2"," 0.00","13.0","13.1"," 0.00"
"    Depressive disorder","18.4","18.2"," 0.00","21.3","21.2"," 0.00"
"    Diabetes mellitus","20.7","21.1","-0.01","20.4","20.7","-0.01"
"    Hyperlipidemia","46.4","47.1","-0.01","46.4","46.3"," 0.00"
"    Pneumonia"," 6.3"," 6.4"," 0.00"," 9.0"," 9.0"," 0.00"
"    Renal impairment"," 9.7"," 9.9"," 0.00","11.5","11.7","-0.01"
"    Urinary tract infectious disease",NA,NA,NA,"18.6","18.5"," 0.00"
"Medical history: Cardiovascular disease","  ","  ","   ","  ","  ","   "
"    Atrial fibrillation"," 4.8"," 4.8"," 0.00"," 5.2"," 5.5","-0.01"
"    Cerebrovascular disease"," 6.1"," 6.0"," 0.00"," 6.6"," 6.8","-0.01"
"    Coronary arteriosclerosis","10.7","11.0","-0.01","11.6","11.8"," 0.00"
"    Heart disease","27.3","27.9","-0.01","30.4","30.6"," 0.00"
"    Heart failure"," 6.1"," 6.4","-0.01"," 7.6"," 7.4"," 0.01"
"    Ischemic heart disease"," 6.5"," 6.6","-0.01"," 7.1"," 7.3"," 0.00"
"Medication use","  ","  ","   ","  ","  ","   "
"    Agents acting on the renin-angiotensin system","32.4","32.7","-0.01",NA,NA,NA
"    Antidepressants","35.0","34.9"," 0.00","43.0","42.8"," 0.00"
"    Drugs for obstructive airway diseases","29.2","29.5"," 0.00","41.2","41.1"," 0.00"
"    Immunosuppressants","43.0","42.2"," 0.02","48.3","48.4"," 0.00"
"    Opioids","38.8","38.9"," 0.00","42.7","42.0"," 0.01"
"    Psycholeptics","30.1","29.9"," 0.00","36.5","36.6"," 0.00"
