en,pt
Language,Língu
Age:,Idade:
Sex,Sexo:
Male,Masculino:
Female,Feminino:
History of Cancer,História de Câncer
History of COPD,História de Doença pulmonar obstrutiva crônica (DPOC)
History of Diabetes,História de Diabetes
History of Heart disease,História de Doença cardíca
History of Hyperlipidemia,História de Hiperlipidemia
History of Hypertension,História de Hipertensão
History of Kidney Disease,História de Doença renal
Calculate Risk,Calcular Risco
Predicted Risk (%),Risco previsto (%)
Use this tool to calculate the risk of COVID outcomes: ,Use esta ferramenta para calcular o risco de complicações COVID:
