en,de

Language,Sprache

Age:,Alter:

Sex,Geschlecht:

Male,Mann 

Female,Frau 

History of Cancer,Vorgeschichte von Krebs

History of COPD,Vorgeschichte von chronisch obstruktive Lungenerkrankung (COPD)

History of Diabetes,Vorgeschichte von Diabetes

History of Heart disease,Vorgeschichte von Herzerkrankung

History of Hyperlipidemia,Vorgeschichte von Hyperlipidämie

History of Hypertension,Vorgeschichte von Bluthochdruck

History of Kidney Disease,Vorgeschichte von Nierenerkrankung

Calculate Risk,Berechnetes Risiko

Predicted Risk (%),Prognostiziertes Risiko (%)

Use this tool to calculate the risk of COVID outcomes: ,Verwende dieses Tool um das Risko von COVID-19 Verläufen zu berechnen:
