cohortId,name,atlasId,circeDef
306,Persons with IBD with at least 365d prior observation,243,TRUE
307,Persons with IBD with no required prior observation,244,TRUE
308,Person with undetermined IBD (both type-specific codes) with at least 365d prior observation,362,TRUE
309,Person with undetermined IBD (both type-specific codes) with no required prior observation,414,TRUE
310,Person with undetermined IBD (no type-specific codes) with at least 365d prior observation,363,TRUE
311,Person with undetermined IBD (no type-specific codes) with no required prior observation,413,TRUE
314,Persons with Crohn's disease with at least 365d prior observation,245,TRUE
315,Persons with Crohn's disease with no required prior observation,246,TRUE
322,Persons with ulcerative colitis with at least 365d prior observation,248,TRUE
323,Persons with ulcerative colitis with no required prior observation,249,TRUE
450,Irritable bowel syndrome [IBD-OHDSI],368,TRUE
451,Autoimmune [IBD-OHDSI],119,TRUE
452,Hypothyroidism [IBD-OHDSI],168,TRUE
453,Alcohol misuse or dependence [IBD OHDSI],151,TRUE
455,Hashimoto thyroiditis [IBD-OHDSI],213,TRUE
456,Vitiligo [IBD-OHDSI],212,TRUE
457,Grave's disease [IBD-OHDSI],211,TRUE
458,Celiac disease [IBD-OHDSI],123,TRUE
459,Rheumatoid arthritis [IBD-OHDSI],122,TRUE
460,Type 1 diabetes mellitus [IBD-OHDSI],121,TRUE
461,Prevalent Type 2 Diabetes Mellitus [Charybdis],117,TRUE
500,Arthritis [IBD-OHDSI],306,TRUE
501,Arthralgia [IBD-OHDSI],314,TRUE
502,Pyoderma gangrenosum [IBD-OHDSI],312,TRUE
503,Erythema nodosuma [IBD-OHDSI],311,TRUE
504,Uveitis [IBD-OHDSI],310,TRUE
505,EIM liver [IBD-OHDSI],167,TRUE
506,EIM eyes [IBD-OHDSI],166,TRUE
507,EIM skin [IBD-OHDSI],165,TRUE
508,EIM Axial arthritis [IBD-OHDSI],164,TRUE
509,EIM Peripheral arthritis [IBD-OHDSI],163,TRUE
510,Perianal disease [IBD-OHDSI],176,TRUE
550,Stricturing [IBD-OHDSI],389,TRUE
552,Penetrating IBD [IBD-OHDSI],386,TRUE
554,Growth failure [IBD OHDSI],348,TRUE
555,Abnormal weight loss [IBD OHDSI],159,TRUE
556,Anorectal fistula [IBD-OHDSI],304,TRUE
557,Death [Charybdis],52,TRUE
558,Hospitalization [Charybdis],149,TRUE
559,Low bone density [IBD-OHDSI],196,TRUE
561,Colectomy present [IBD-OHDSI],105,TRUE
562,Ileostomy present [IBD-OHDSI],107,TRUE
563,Colostomy present [IBD-OHDSI],103,TRUE
564,Drainage of intra-abdominal abscess [IBD-OHDSI],173,TRUE
565,Drainage of perianal abscess [IBD-OHDSI],172,TRUE
566,Balloon dilation [IBD-OHDSI],171,TRUE
567,Strictureplasty [IBD-OHDSI],170,TRUE
568,Small intestinal resection [IBD-OHDSI],169,TRUE
569,Intestinal obstruction [IBD-OHDSI],109,TRUE
570,Gastrointestinal stenosis [IBD-OHDSI],421,TRUE
571,Colostomy procedure [IBD-OHDSI],102,TRUE
572,Colectomy procedure [IBD-OHDSI],104,TRUE
573,Ileostomy procedure [IBD-OHDSI],106,TRUE
600,JAK inhibitors [IBD-OHDSI],319,TRUE
601,TNF-alpha inhibitors [IBD-OHDSI],316,TRUE
602,"Interleukin 12, 23 inhibitors [IBD-OHDSI]",318,TRUE
603,Anti-migration immunosuppressants [IBD-OHDSI],317,TRUE
604,IBD antibiotics exposure [IBD-OHDSI],179,TRUE
605,IBD steroid (broad) exposure [IBD-OHDSI],145,TRUE
606,Modulen exposure [OHDSI],118,TRUE
607,IBD steroid exposure [OHDSI],99,TRUE
608,IBD biologics exposure [OHDSI],98,TRUE
609,5-ASA exposure [OHDSI],97,TRUE
610,Immunomodulator exposure [OHDSI],96,TRUE
650,Low hemoglobin level [IBD-OHDSI],392,TRUE
651,Low platelet count [IBD-OHDSI],391,TRUE
652,Low serum albumin level [IBD-OHDSI],388,TRUE
653,Anemia [IBD-OHDSI],156,TRUE
654,Iron deficiency anemia [IBD-OHDSI],307,TRUE
700,Colon cancer benign [IBD-OHDSI],353,TRUE
701,Cervical cancer malignant [IBD-OHDSI],351,TRUE
702,Melanoma [IBD-OHDSI],360,TRUE
703,Cholangiocarcinoma [IBD-OHDSI],359,TRUE
704,Anal carcinoma [IBD-OHDSI],356,TRUE
705,Urinary tract neoplasm malignant [IBD-OHDSI],358,TRUE
706,Urinary tract neoplasm benign [IBD-OHDSI],357,TRUE
707,Small bowel carcinoma [IBD-OHDSI],355,TRUE
708,Colon cancer malignant [IBD-OHDSI],354,TRUE
709,Lung cancer malignant [IBD-OHDSI],352,TRUE
710,Cervical cancer benign [IBD-OHDSI],349,TRUE
711,Prevalent malignant neoplasm excluding non-melanoma skin cancer [Charybdis],253,TRUE
712,Lymphoma [IBD-OHDSI],174,TRUE
713,Non-melanoma skin cancer [IBD-OHDSI],175,TRUE
751,Psyllium exposure [IBD-OHDSI],400,TRUE
752,Mebeverine exposure [IBD-OHDSI],396,TRUE
753,Peppermint oil exposure [IBD-OHDSI],399,TRUE
754,Butylscopolamine exposure [IBD-OHDSI],398,TRUE
755,Alverine exposure [IBD-OHDSI],397,TRUE
758,"Loperamide, codeine exposure [IBD-OHDSI]",393,TRUE
800,Suicide and suicidal ideation [Charybdis],252,TRUE
801,Hospitalization for psychosis [Charybdis],251,TRUE
802,Anxiety [IBD-OHDSI],148,TRUE
803,Depression [IBD-OHDSI],147,TRUE
804,Stress [IBD OHDSI],153,TRUE
850,Family history IBD [IBD-OHDSI],114,TRUE
851,Smoking [IBD-OHDSI],115,TRUE
853,Appendectomy procedure [IBD-OHDSI],120,TRUE
900,Bloating [IBD-OHDSI],369,TRUE
901,Rectal bleeding [IBD-OHDSI],308,TRUE
902,Aphthae [IBD-OHDSI],313,TRUE
903,Bloody diarrhea [IBD-OHDSI],309,TRUE
904,Abdominal pain [IBD-OHDSI],303,TRUE
905,Diarrhea [IBD-OHDSI],302,TRUE
906,Gastrointestinal bleeding events [Charybdis],250,TRUE
950,Shingles vaccine [IBD-OHDSI],300,TRUE
951,MMR vaccine [IBD-OHDSI],299,TRUE
952,HPV vaccine [IBD-OHDSI],298,TRUE
953,Diphtheria and Pertussis vaccine [IBD-OHDSI],297,TRUE
954,Hepatitis B vaccine [IBD-OHDSI],295,TRUE
955,Pneumococcal vaccines [IBD-OHDSI],292,TRUE
956,Prevnar 13 [IBD-OHDSI],294,TRUE
957,Pneumovax 23 [IBD-OHDSI],293,TRUE
958,Influenza vaccine [IBD-OHDSI],296,TRUE
