cohortId,atlasId,atlasName,name,description,cite,isNew,hyperlink
1,538,3-point MACE,outcome/3pt_MACE,"Condition record of acute myocardial infarction, hemorrhagic or ischemic stroke or sudden cardiac death during an inpatient or ER visit",[@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag;@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm;@Hennessy2010-gn],no,"{[}\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Hennessy2010-gn}{61}{]}"
2,539,4-point MACE,outcome/4pt_MACE,3-Point MACE $+$ inpatient or ER visit (hospitalization) with heart failure condition record,[@Ryan2018-ci;@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag;@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm;@Hennessy2010-gn;@Kaspar2018-ol;@Feder2018-nj;@Rosenman2014-vv;@Voors2017-rd;@Floyd2016-fi;@Gini2016-gf],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Gini2016-gf}{67}{]}"
3,540,Acute myocardial infarction,outcome/Acute_myocardial_infarction,Condition record of acute myocardial infarction during an inpatient or ER vist,[@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag],no,"{[}\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Normand1995-ag}{54}{]}"
4,541,Acute renal failure,outcome/Acute_renal_failure,Condition record of acute renal failure during an inpatient or ER visit,[@Weinstein2020-ic;@Afzal2013-uz;@Lenihan2013-id;@Winkelmayer2005-jh;@Grams2014-zx;@Arnold2018-rq;@Sutherland2015-ya;@Waikar2006-uq;@Rhee2015-mm],no,"{[}\protect\hyperlink{ref-Weinstein2020-ic}{47},\protect\hyperlink{ref-Afzal2013-uz}{68}--\protect\hyperlink{ref-Rhee2015-mm}{75}{]}"
5,558,Glycemic control,outcome/Glycemic_control,First hemoglobin A1c measurement with value $\le$ 7\%,[@Vashisht2018-qk],no,"{[}\protect\hyperlink{ref-Vashisht2018-qk}{76}{]}"
6,542,Hospitalization with heart failure,outcome/Hospitalization_with_heart_failure,Inpatient or ER visit with heart failure condition record,[@Ryan2018-ci;@Kaspar2018-ol;@Feder2018-nj;@Rosenman2014-vv;@Voors2017-rd;@Floyd2016-fi;@Gini2016-gf],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Kaspar2018-ol}{62}--\protect\hyperlink{ref-Gini2016-gf}{67}{]}"
7,543,Measured renal dysfunction,outcome/Measured_renal_dysfunction,First creatinine measurement with value > 3 mg/dL,[@Rhee2015-mm],no,"{[}\protect\hyperlink{ref-Rhee2015-mm}{75}{]}"
8,557,Revascularization,outcome/Revascularization,Procedure record of percutaneous coronary intervention or coronary artery bypass grafting during an inpatient or ER visit,[@You_undated-fz],no,"{[}\protect\hyperlink{ref-You_undated-fz}{45}{]}"
9,544,Stroke,outcome/Stroke,Condition record of hemorrhagic or ischemic stroke during an inpatient or ER visit,[@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm],no,"{[}\protect\hyperlink{ref-Andrade2012-sp}{55}--\protect\hyperlink{ref-Yuan2017-wm}{60}{]}"
10,545,Sudden cardiac death,outcome/Sudden_cardiac_death,Condition record of sudden cardiac death during an inpatient or ER visit,[@Singh2018-jg;@Hennessy2010-gn],no,"{[}\protect\hyperlink{ref-Singh2018-jg}{52},\protect\hyperlink{ref-Hennessy2010-gn}{61}{]}"
21,546,Abnormal weight gain,outcome/Abnormal_weight_gain,"Abnormal weight gain record of any type; successive records with > 90 day gap are considered independent episodes; note, weight measurements not used",[@Broder2016-qq],no,"{[}\protect\hyperlink{ref-Broder2016-qq}{77}{]}"
22,547,Abnormal weight loss,outcome/Abnormal_weight_loss,"Abnormal weight loss record of any type; successive records with > 90 day gap are considered independent episodes; note, weight measurements not used",[@Williams2017-zb],no,"{[}\protect\hyperlink{ref-Williams2017-zb}{78}{]}"
23,548,Acute pancreatitis,outcome/Acute_pancreatitis,Condition record of acute pancreatitis during an inpatient or ER visit,[@Yabe2015-da;@Dore2013-km;@Dore2011-gx;@Chen2017-bb],no,"{[}\protect\hyperlink{ref-Yabe2015-da}{79}--\protect\hyperlink{ref-Chen2017-bb}{82}{]}"
24,549,All-cause mortality,outcome/All-cause_mortality,Death record of any type,[@Singh2018-jg;@Ooba2013;@Robinson2015],no,"{[}\protect\hyperlink{ref-Singh2018-jg}{52},\protect\hyperlink{ref-Ooba2013}{83},\protect\hyperlink{ref-Robinson2015}{84}{]}"
25,559,Bladder cancer,outcome/Bladder_cancer,Malignant tumor of urinary bladder condition record of any type; limited to earliest event per person,,yes,
26,575,Bone fracture,outcome/Bone_fracture,Bone fracture condition record of any type; successive records with > 90 day gap are considered independent episodes,,yes,
27,560,Breast cancer,outcome/Breast_cancer,Malignant tumor of breast condition record of any type; limited to earliest event per person,,yes,
28,572,Diabetic ketoacidosis,outcome/Diabetic_ketoacidosis,Diabetic ketoacidosis condition record during an inpatient or ER visit,[@Wang2017-su;@wang2019diabetic],no,"{[}\protect\hyperlink{ref-Wang2017-su}{46},\protect\hyperlink{ref-wang2019diabetic}{85}{]}"
29,550,Diarrhea,outcome/Diarrhea,Diarrhea condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Buono2017-rg;@Krishnarajah2016-af;@Panozzo2014-tt],no,"{[}\protect\hyperlink{ref-Buono2017-rg}{86}--\protect\hyperlink{ref-Panozzo2014-tt}{88}{]}"
30,563,Genitourinary infection,outcome/Genitourinary_infection,Condition record of any type of genital or urinary tract infection during an outpatient or ER vists,[@Nichols2017-ah],no,"{[}\protect\hyperlink{ref-Nichols2017-ah}{89}{]}"
31,552,Hyperkalemia,outcome/Hyperkalemia,Condition record for hyperkalemia or potassium measurements > 5.6 mmol/L; successive records with >90 day gap are considered independent episodes,[@Abbas2015;@Betts2018;@Fitch2017],no,"{[}\protect\hyperlink{ref-Abbas2015}{90}--\protect\hyperlink{ref-Fitch2017}{92}{]}"
32,564,Hypoglycemia,outcome/Hypoglycemia,Hypoglycemia condition record of any type; successive records with > 90 day gap are considered independent episodes,[@leonard2018comparative],yes,"{[}\protect\hyperlink{ref-leonard2018comparative}{93}{]}"
33,553,Hypotension,outcome/Hypotension,Hypotension condition record of any type; successive records with > 90 day gap are considered independent episodes,[@Chrischilles2001-ak],no,"{[}\protect\hyperlink{ref-Chrischilles2001-ak}{94}{]}"
34,569,Joint pain,outcome/Joint_pain,Joint pain condition record of any type; successive records with > 90 days gap are considered independent episodes,,yes,
