table_name,column_name,data_type,primary_key,min_cell_count,description,empty_is_na
cohort_definition,cohort_definition_id,bigint,Yes,no,cohort definition id,Yes
cohort_definition,subset_parent,bigint,No,no,cohort definition id,Yes
cohort_definition,concept_id,bigint,no,no,covariate id,Yes
cohort_definition,cohort_definition_name,varchar,no,no,cohort definition name,Yes
cohort_definition,short_name,varchar,no,no,cohort definition name,Yes
cohort_definition,atc_flag,int,no,no,cohort definition name,Yes
cdm_source_info,database_id,bigint,Yes,no,database definition id,Yes
cdm_source_info,cdm_source_abbreviation,varchar,no,no,cdm info,Yes
cdm_source_info,cdm_holder,varchar,no,no,cdm info,Yes
cdm_source_info,source_description,varchar,no,no,cdm info,Yes
cdm_source_info,source_documentation_reference,varchar,no,no,cdm info,Yes
cdm_source_info,cdm_etl_reference,varchar,no,no,cdm info,Yes
cdm_source_info,source_release_date,date,no,no,cdm info,Yes
cdm_source_info,cdm_release_date,date,no,no,cdm info,Yes
cdm_source_info,cdm_version,varchar,no,no,cdm info,Yes
cdm_source_info,vocabulary_version,varchar,no,no,cdm info,Yes
cohort_count,num_persons,bigint,no,Yes,cohort size,Yes
cohort_count,cohort_definition_id,bigint,Yes,no,cohort definition id,Yes
cohort_count,database_id,bigint,Yes,no,database definition id,Yes
cosine_similarity_score,database_id,bigint,Yes,no,database definition id,Yes
cosine_similarity_score,cohort_definition_id_1,bigint,Yes,no,cohort definition id,Yes
cosine_similarity_score,cohort_definition_id_2,bigint,Yes,no,cohort definition id,Yes
cosine_similarity_score,covariate_type,varchar,yes,no,type of strata,Yes
cosine_similarity_score,cosine_similarity,float,no,no,similarity score,Yes
covariate_definition,covariate_id,bigint,yes,no,covariate id,Yes
covariate_definition,covariate_name,varchar,no,no,covariate name,Yes
covariate_definition,concept_id,bigint,no,no,covariate id,Yes
covariate_definition,time_at_risk_start,int,no,no,time at risk start,Yes
covariate_definition,time_at_risk_end,int,no,no,time at risk end,Yes
covariate_definition,covariate_type,varchar,no,no,database definition id,Yes
covariate_mean,database_id,bigint,No,no,database definition id,Yes
covariate_mean,cohort_definition_id,bigint,Yes,no,database definition id,Yes
covariate_mean,covariate_id,bigint,Yes,no,d,Yes
covariate_mean,covariate_mean,float,Yes,no,database definition id,Yes
atc_level,cohort_definition_id_1,bigint,Yes,no,cohort definition id,Yes
atc_level,cohort_definition_id_2,bigint,Yes,no,cohort definition id,Yes
atc_level,level_closest_atc_relation,bigint,no,no,atc info,Yes
atc_level,level_furthest_atc_relation,bigint,no,no,atc info,Yes
atc_level,atc_1_related,bigint,no,no,atc info,Yes
atc_level,atc_2_related,bigint,no,no,atc info,Yes
atc_level,atc_3_related,bigint,no,no,atc info,Yes
atc_level,atc_4_related,bigint,no,no,atc info,Yes
atc_level,atc_5_related,bigint,no,no,atc info,Yes
